age,monthly_income,monthly_expenses,num_dependents,existing_savings,debt_payments,investment_amount,employment_type,has_insurance,financial_health_score,recommended_monthly_saving
33,1438366,1203089,4,1488783,254879,74869,employed,1,100,0
41,86419,26777,3,1513226,118858,280091,employed,0,100,0
37,1174886,993924,5,1637752,376184,36126,self_employed,1,100,0
25,1271295,560577,4,1313369,346301,88336,self_employed,0,100,72883
46,1616222,502662,5,2932333,60533,34772,self_employed,1,100,210605
36,1513596,1242581,1,4968841,196955,157106,employed,0,100,14811
59,1519836,1235259,0,4269408,90736,80982,self_employed,1,100,38768
42,1561169,482469,4,2189944,299171,223664,employed,0,100,155905
54,739592,256306,4,308513,428564,167259,self_employed,1,100,10944
20,1091775,981461,5,4486680,49089,96923,employed,0,100,12244
36,1475509,1310834,5,1289237,453190,68304,employed,0,100,0
51,1119832,716072,4,1227113,291699,58724,employed,1,100,22412
24,524774,448777,4,4499598,212824,169423,student,1,100,0
26,1441244,711657,5,1677200,474921,94808,student,1,100,50933
25,101620,40708,2,2704384,378083,134914,employed,1,100,0
36,599700,560381,0,2793462,326200,296132,employed,1,100,0
54,720224,486667,1,1287016,269157,61637,employed,1,100,0
25,1705250,839980,4,4339752,437480,270174,employed,0,100,85557
64,389221,247653,2,3117620,111193,35318,employed,0,100,6074
41,228847,158076,3,1390032,381526,297283,student,0,100,0
19,1625551,837635,3,3769382,244876,39542,employed,0,100,108607
46,341185,272453,2,3845400,395427,76091,unemployed,1,100,0
29,1854986,604642,1,448138,21212,260419,employed,0,100,245826
22,1940837,886811,2,1241763,383880,208994,self_employed,0,100,134029
18,1491166,749883,3,131560,80467,122615,employed,1,100,132163
30,955085,735697,4,3639403,230868,191098,self_employed,1,100,0
56,853940,698270,3,1700290,209832,124331,self_employed,1,100,0
25,1226335,866155,0,1193340,333383,47812,unemployed,1,100,5359
36,1631088,840848,0,2949548,65790,45645,employed,1,100,144889
63,71538,33624,3,1334810,184857,96033,self_employed,0,100,0
45,1634336,912026,3,2197365,463397,48758,employed,1,100,51782
27,1091308,639004,4,2154105,59994,154109,student,0,100,78461
51,1535174,1053729,4,3929865,260277,197763,employed,0,100,44233
27,1577370,1168023,0,1178493,99926,22121,employed,0,100,61884
35,1344694,733884,5,2573366,165342,291980,self_employed,0,100,89093
27,50848,19222,1,3469854,8589,134275,employed,1,100,4607
38,877111,513687,5,1987717,219536,278839,employed,0,100,28777
19,1577259,843875,3,168343,404723,57041,employed,1,100,65732
26,920614,311931,4,707150,315453,295013,unemployed,0,100,58645
55,1466833,635921,3,2804769,264903,55005,employed,0,100,113201
24,1748584,996219,0,1848366,283837,93205,student,0,100,93705
20,507814,334918,4,2648225,366270,268719,unemployed,1,100,0
43,587109,383974,5,453043,339086,223687,employed,0,100,0
24,272388,119299,2,940628,214713,42392,employed,0,100,0
57,567380,255345,0,3308866,323294,227450,employed,0,100,0
42,1176994,896980,3,2596960,461206,217725,self_employed,1,100,0
54,1995277,1041225,4,1290832,290593,179561,employed,0,100,132691
52,1927389,815419,0,371943,321686,187867,employed,0,100,158056
63,1084331,644731,3,3278710,16596,234691,employed,1,100,84600
44,1212503,752482,1,2373487,11465,25711,employed,1,100,89711
55,320033,137475,5,540470,214805,75773,self_employed,0,100,0
52,1567858,946522,4,4593761,194729,44257,employed,0,100,85321
24,835730,657184,1,4483282,111260,230297,self_employed,0,100,13457
55,1357023,557697,0,4872315,397232,164280,employed,0,100,80418
37,532620,283947,4,4349056,365712,16071,employed,0,100,0
40,1483413,542741,3,349510,210843,47043,employed,1,100,145965
46,1283904,564707,1,2993082,289703,246986,unemployed,0,100,85898
39,478324,277876,0,1482053,412694,16129,employed,1,100,0
38,69288,64672,3,197105,477611,242002,employed,0,100,0
59,186124,140401,3,466063,363264,115830,employed,0,100,0
22,271760,246079,3,4713377,113449,233416,unemployed,0,100,0
57,1914181,704490,3,2240034,70209,131038,student,1,100,227896
64,874246,797541,5,1825508,411920,287341,self_employed,0,100,0
60,1130990,714998,1,1194171,380001,230987,self_employed,1,100,7198
27,714288,345367,3,360885,80652,5112,employed,0,100,57653
50,938971,797285,2,4908049,2950,260552,self_employed,0,100,27747
18,1255054,867089,4,2228136,27065,1190,employed,0,100,72179
53,1783781,640348,3,2273047,211803,181956,unemployed,1,100,186325
33,798659,517486,3,2875037,377414,180841,employed,0,100,0
36,406483,291538,5,810639,121982,53151,unemployed,0,100,0
22,1003180,312538,2,3774464,188282,209173,employed,1,100,100471
40,1023407,672653,4,61690,210632,199127,employed,1,100,28024
20,1878117,1006815,5,2214566,317422,266330,unemployed,0,100,110775
63,198729,118632,5,4867529,87768,261928,unemployed,0,100,0
35,457658,169707,3,3384720,366397,167089,employed,0,100,0
20,341433,214034,3,1639411,211496,38316,employed,0,100,0
59,1076874,1012338,3,1996960,184166,27322,employed,1,100,0
20,1743383,1359444,2,2839630,364459,77417,self_employed,0,100,3895
31,266527,240702,5,3307828,77831,9333,employed,1,100,0
25,568635,273156,4,3080895,254782,293679,student,0,100,8139
49,1873074,1027592,0,2162376,236806,98403,student,0,100,121735
47,189510,136799,4,2404808,466757,262043,self_employed,0,100,0
36,1909884,1491159,2,3435802,27802,257777,student,0,100,78184
23,342154,170275,4,794214,344915,260306,employed,1,100,0
26,561113,295108,5,164521,221954,74643,employed,0,100,8810
47,1865443,719348,5,4192492,425204,185929,employed,0,100,144178
23,641906,475754,3,1493887,429469,290670,self_employed,0,100,0
48,1754370,923739,2,4496820,296925,52001,self_employed,1,100,106741
59,343002,133823,2,4457055,238815,133107,self_employed,0,100,0
38,937253,667409,4,389200,297310,23600,student,0,100,0
57,348826,107474,4,2002752,380692,132726,self_employed,0,100,0
32,1557785,1429343,1,1816302,319315,56262,employed,0,100,0
60,451335,323458,4,4996894,351691,35954,self_employed,1,100,0
38,1647773,1145369,4,3582348,125218,3845,self_employed,1,100,75437
60,652896,470497,3,1705887,487731,196841,student,0,100,0
31,677644,342720,0,2504438,182673,41399,self_employed,0,100,30450
55,844192,381227,0,2156429,387798,42775,employed,0,100,15033
29,1795591,1165202,0,3092542,194747,210235,employed,1,100,87128
32,555021,507088,4,566520,329243,259971,employed,1,100,0
54,1892404,913449,5,68550,9805,72692,self_employed,1,100,193829
28,585090,447980,0,4742875,234863,70261,self_employed,0,100,0
47,71287,66483,5,3604448,336071,248688,self_employed,0,100,0
52,1767704,1161555,1,3572433,144335,71975,employed,1,100,92362
52,1973828,1180528,2,1610716,232249,98239,unemployed,0,100,112210
59,617580,485573,1,3894868,413552,2886,employed,0,100,0
59,1251072,490295,1,566797,73664,30211,self_employed,0,100,137422
54,263018,84562,0,1488401,51844,188312,employed,0,100,25322
45,1157834,612157,0,2583541,251323,139322,self_employed,0,100,58870
58,1982207,1673382,1,1423788,280388,294469,employed,0,100,5687
27,1232645,431904,1,786092,156374,86783,employed,0,100,128873
28,632827,432985,1,1701733,49339,11982,employed,0,100,30100
19,1992196,664368,1,3361241,467089,134484,employed,0,100,172147
19,134955,84431,1,132248,217378,280446,employed,0,100,0
63,1894989,728708,4,1237557,40387,71222,employed,0,100,225178
34,386570,268637,1,4926081,68340,193771,self_employed,1,100,9918
57,1004837,504042,2,3385131,403548,53783,self_employed,0,100,19449
30,355932,192537,0,2389927,382031,238406,student,0,100,0
55,1507423,513916,2,4129108,317203,57001,employed,1,100,135260
19,1165947,937920,3,629121,302806,238308,employed,0,100,0
43,1533707,1060902,0,1963742,421572,47742,employed,0,100,10246
44,1560339,1057944,2,3115573,48111,189224,employed,1,100,90856
56,413782,301133,1,4578757,366399,153109,employed,0,100,0
54,1250973,915007,1,279905,317412,262915,self_employed,1,100,3710
50,145236,76828,0,2128612,182129,39797,employed,1,100,0
35,1514575,724592,4,2219910,444572,97551,employed,0,100,69082
46,920662,454241,1,2507378,2816,134846,self_employed,0,100,92720
21,1790745,1481639,2,4095221,56000,113277,self_employed,1,100,50621
47,1146721,470353,0,1346734,51678,279290,self_employed,1,100,124937
55,984594,606900,4,3559673,372522,17808,student,1,100,1034
34,349404,246915,5,653277,189383,100882,employed,0,100,0
57,1446044,919048,1,1564879,146784,167667,student,0,100,76042
30,1455104,959894,4,333006,201128,36417,employed,1,100,58816
37,1773035,1498888,2,650713,69489,283958,employed,0,100,40931
53,1132639,582300,0,863722,97275,181501,employed,0,100,90612
22,1506466,790602,1,789680,346207,235756,student,0,100,73931
44,1422439,580082,4,203556,21095,124844,self_employed,0,100,164252
40,626820,493745,0,1057116,342289,82134,self_employed,0,100,0
28,85496,37168,2,3009903,498951,11719,student,1,100,0
52,1384032,882801,0,558152,498172,117623,self_employed,1,100,611
35,287172,245590,1,4238879,225304,57472,student,1,100,0
61,1656106,602485,3,2969021,449959,2104,employed,0,100,120732
20,469729,192372,5,4688659,329548,36841,self_employed,1,100,0
48,550231,230694,0,191211,391279,136502,employed,0,100,0
60,1630065,631399,1,2126139,451503,79859,employed,1,100,109432
32,520522,475847,5,157322,497301,268825,employed,1,100,0
52,753935,588799,4,4105377,200134,206814,employed,0,100,0
56,1555112,926427,0,3141727,205279,288436,employed,0,100,84681
23,952319,469938,0,2061120,4415,227348,employed,1,100,95593
46,1833493,687328,5,908469,279742,128552,employed,1,100,173284
44,1082537,341420,3,1034179,315133,9876,student,0,100,85196
45,1890552,1365845,3,3483542,406557,109575,student,0,100,23629
20,307992,193509,3,1718206,341699,144563,employed,1,100,0
40,198723,136141,3,3806136,262435,241476,employed,0,100,0
43,649295,265469,1,1703010,389178,240397,self_employed,0,100,0
44,1176428,803120,5,2488852,43922,8276,employed,1,100,65877
23,1411506,611009,3,3762638,93465,118437,student,0,100,141406
50,1367914,446855,3,4496811,424525,174370,student,0,100,99306
31,831415,720754,2,2876064,188340,31485,employed,0,100,0
20,1778063,1489625,3,1158894,495758,180268,employed,1,100,0
36,883798,603407,1,2976737,92194,130461,employed,0,100,37639
57,1175877,1051979,1,3245418,407755,25690,employed,0,100,0
36,1818432,1458303,1,3446630,74883,98944,student,0,100,57049
44,1495041,715270,4,2825067,394226,170912,employed,0,100,77108
54,1606633,1437212,4,1195008,74827,298874,employed,0,100,18918
59,111550,61606,2,4128018,424223,11626,employed,1,100,0
57,510785,479716,5,2294933,75135,165053,employed,1,100,0
58,1437118,1082838,4,862981,117032,12693,employed,0,100,47449
19,1288279,560947,2,4665787,158816,184433,student,1,100,113703
62,1714244,955043,4,1240316,124425,124446,employed,1,100,126955
31,942324,690221,5,2384310,104280,52533,student,0,100,29564
45,1910341,1552069,0,2387649,489514,208410,employed,1,100,0
27,803394,542043,2,1915054,357674,139598,employed,1,100,0
55,360929,281969,4,1434669,13031,238166,student,1,100,13185
45,562939,345112,0,293735,283455,137524,student,1,100,0
30,1575362,764638,2,1548008,162192,38288,self_employed,1,100,129706
45,861420,653036,2,3164697,55178,23261,employed,0,100,30641
62,51204,42807,0,640771,64313,220963,self_employed,1,100,0
34,703273,356249,2,2828642,337321,183105,employed,1,100,1940
22,1416044,818342,0,1356995,251379,215809,employed,0,100,69264
64,1327220,689598,0,817516,79849,247924,self_employed,0,100,111554
22,1885989,744218,2,2707636,199084,44656,employed,1,100,188537
36,1295161,1033913,2,4880060,194096,156681,employed,0,100,13430
51,686943,433855,3,3131350,124318,283588,employed,0,100,25753
58,715090,289830,3,4568073,136782,66105,employed,0,100,57695
60,1570100,824425,5,3784806,316031,222510,self_employed,1,100,85928
56,1090115,851908,1,3017412,327437,99518,self_employed,0,100,0
48,69734,38076,1,1499061,316426,203985,employed,0,100,0
42,1523335,528061,0,1634242,278858,199739,employed,1,100,143283
18,1091675,402330,2,2437114,178673,139592,employed,0,100,102134
39,1453936,1379453,0,2987107,294159,122441,employed,1,100,0
55,615154,355666,3,3092835,101673,293887,student,1,100,31562
46,545144,388949,1,1205483,151425,1679,employed,1,100,953
19,620765,436124,5,2698895,26458,30547,employed,1,100,31636
58,158080,64491,0,3888506,388052,101223,employed,0,100,0
59,806183,450936,2,4261951,107186,32317,employed,1,100,49612
47,691841,528825,1,4169596,123943,234833,employed,0,100,7814
34,1135209,653979,0,2883676,64607,76760,employed,0,100,83324
53,1369113,935144,1,4924473,158993,241484,self_employed,0,100,54995
31,60539,32756,2,189341,472812,60618,employed,0,100,0
34,179732,84887,1,2983465,407225,95175,employed,1,100,0
45,387522,120974,0,2853312,390100,141331,self_employed,0,100,0
23,1944289,1119490,0,4185162,275189,124279,student,0,100,109921
26,1564122,872380,1,4191897,450125,237774,student,0,100,48323
28,543895,325973,5,114358,254217,20940,self_employed,0,100,0
25,655408,199402,2,4929336,263620,138837,employed,0,100,38477
64,1840526,1171099,5,947279,151168,201457,unemployed,1,100,103651
40,947157,356866,5,120283,246076,148915,self_employed,1,100,68842
23,521212,324478,0,3738363,35470,67132,unemployed,0,100,32252
38,577227,301513,5,2951948,493334,28414,employed,1,100,0
34,170590,56030,4,3792976,489013,228872,employed,0,100,0
56,1149586,468612,1,4624757,94553,136862,employed,0,100,117284
28,1734620,811305,3,4781356,412483,155416,self_employed,0,100,102166
56,802506,362472,0,59983,260761,4720,employed,1,100,35854
22,760416,526430,3,4074841,135126,50459,employed,0,100,19771
48,812969,267217,3,3832917,307838,121230,unemployed,0,100,47582
33,485312,285589,2,3074664,401627,215663,self_employed,1,100,0
29,273946,227560,2,4510638,211054,258526,self_employed,1,100,0
47,761531,369770,2,4932368,299178,62796,employed,1,100,18516
42,1876914,1300941,1,2773535,446524,68161,employed,1,100,25889
29,1649557,1483839,3,3704216,403532,136495,self_employed,1,100,0
20,1718454,1396318,0,1811799,212495,299399,employed,0,100,21928
34,1815043,1525364,3,3571812,98569,295297,student,0,100,38221
21,1797803,1051132,4,3033784,255286,71447,unemployed,1,100,98276
23,638786,226375,3,2036419,430122,26005,self_employed,1,100,0
32,1636067,1008415,3,3568366,486189,59726,employed,0,100,28292
49,1808226,628137,1,2293598,184265,227351,employed,1,100,199164
38,827996,516038,0,857983,39352,292093,employed,0,100,54521
19,1563987,974570,5,701868,116544,89540,employed,1,100,94574
63,1841493,1530561,4,382058,217727,114656,self_employed,0,100,18640
20,1925950,1261877,1,3335616,224981,106681,employed,0,100,87818
42,1143547,417905,4,856072,171579,14774,student,0,100,110812
44,655034,391081,3,2219712,378981,178388,student,0,100,0
44,170312,132159,0,459460,411004,25335,self_employed,0,100,0
40,596300,219337,3,2325277,115355,177802,employed,0,100,52321
26,307737,190344,1,368995,27909,174871,employed,0,100,17896
53,1835852,1153180,0,2283763,377709,26952,employed,0,100,60992
28,1321145,1195883,4,75921,37467,51073,employed,0,100,17558
56,490294,394769,0,963247,394796,299013,employed,1,100,0
24,1896006,870053,5,4526341,461032,235935,self_employed,0,100,112984
30,1862150,1536368,5,695320,267251,148188,self_employed,1,100,11706
24,536398,310398,0,340760,398556,270755,employed,1,100,0
59,750484,468400,1,803577,217669,213884,self_employed,1,100,12882
64,1762310,952642,1,444376,394496,283575,employed,0,100,83034
60,1993723,715710,3,1464563,67228,118171,employed,0,100,242156
30,93703,88411,0,2570642,414321,290722,self_employed,1,100,0
23,1859910,662571,5,1411437,270072,50510,student,0,100,185453
21,342479,121324,0,4453024,286475,245815,self_employed,0,100,0
60,1401228,529335,5,2592677,118325,184474,employed,0,100,150713
42,1515058,727174,2,4052890,128508,204765,employed,0,100,131875
37,177326,116023,3,52701,246009,293302,self_employed,0,100,0
26,1816313,1459128,2,514848,92551,197620,student,1,100,52926
42,1508296,1201282,1,3113010,25450,39788,student,0,100,56312
54,1560505,977324,4,3392049,240710,292053,self_employed,0,100,68494
26,1317229,1119296,3,110174,464453,213132,employed,0,100,0
58,898869,281982,0,33442,61319,5699,employed,0,100,111113
61,563207,183693,2,3903811,28095,95132,employed,0,100,70283
36,660254,475244,0,3080455,286434,62908,employed,0,100,0
29,1449051,872563,4,1476173,286361,137230,self_employed,1,100,58025
52,422005,265038,0,2099025,25344,135307,self_employed,1,100,26324
21,544739,240647,2,113589,203418,221009,employed,1,100,20134
36,1563744,1320123,3,2337247,124635,117541,student,0,100,23797
61,774204,485474,5,217066,326127,155339,employed,0,100,0
63,1769686,773410,5,2607331,296606,213020,self_employed,1,100,139933
23,735575,286842,5,1587714,107894,277161,employed,0,100,68167
48,1247468,1181326,0,2582759,140137,179477,self_employed,0,100,0
64,619982,479136,2,4892765,11956,104698,unemployed,0,100,25777
49,1349091,871817,1,4043810,457843,1511,self_employed,0,100,3886
26,738120,493223,0,4216006,161839,278110,self_employed,0,100,16611
43,323439,120215,0,1141185,400009,261935,employed,0,100,0
23,1936439,1489089,4,763820,27803,122395,employed,1,100,83909
54,1528187,1371565,0,4625044,38155,177390,self_employed,0,100,23693
60,313753,277100,5,2611139,186873,297110,student,0,100,0
51,1067036,866566,2,4222819,324878,152116,employed,1,100,0
57,1421025,1029197,4,3045773,231489,132077,student,0,100,32067
38,1773289,839987,4,3681477,283985,195441,student,0,100,129863
59,244794,128286,0,1646418,341108,260879,employed,1,100,0
44,1819911,1529944,5,4889993,419196,151079,employed,0,100,0
36,1492723,1143219,3,1144454,76989,50016,self_employed,1,100,54502
44,1231835,1162550,1,2839357,484651,245827,employed,0,100,0
20,1431869,508826,3,2964268,241834,42757,employed,0,100,136241
42,1193880,628089,2,3477919,338454,288582,student,1,100,45467
51,849042,740178,0,1737972,17289,49549,self_employed,0,100,18314
38,1273570,403529,5,4930739,54138,141941,self_employed,0,100,163180
28,903111,468151,0,1954775,215952,104932,self_employed,0,100,43801
44,1150926,1074093,1,2744620,397232,291641,student,1,100,0
45,1612725,1056863,3,689793,243897,280430,self_employed,0,100,62392
21,118837,59462,5,1657859,445744,129056,employed,0,100,0
61,1043721,944136,3,3190025,450754,82794,student,1,100,0
58,1016871,534451,5,3586255,126272,160440,employed,0,100,71229
43,1375658,532050,3,1804436,297225,208208,student,0,100,109276
38,489146,330899,3,4395289,234179,36026,employed,0,100,0
56,329689,251984,4,4088978,331620,280756,unemployed,0,100,0
21,1862939,654946,1,4799665,49724,237157,employed,1,100,231653
54,363193,255818,5,4445180,111756,199703,self_employed,1,100,0
60,1417697,767963,5,1149718,441435,152849,employed,0,100,41659
21,1535668,585075,5,2259320,211550,277710,self_employed,0,100,147808
40,1558715,1111730,5,3780904,458960,31651,unemployed,0,100,0
26,1176769,558855,2,1268990,434082,280665,unemployed,1,100,36766
57,470220,192937,3,2315537,382096,75845,employed,1,100,0
41,1552894,560488,1,4086775,363395,216154,unemployed,1,100,125802
46,221058,123987,1,1343892,294861,277630,employed,0,100,0
24,1018486,716468,0,2037080,347620,23623,self_employed,0,100,0
35,485008,453027,2,3582530,39904,210980,employed,1,100,0
19,709491,368740,5,2345230,153227,185286,self_employed,0,100,37504
45,1797926,1255172,2,348154,353217,53192,unemployed,1,100,37907
60,1602893,603388,2,469730,84293,24225,employed,1,100,183042
58,177179,160961,5,3372942,76460,101615,employed,0,100,0
46,528415,412914,4,1700437,339582,75163,unemployed,1,100,0
62,1261524,961932,3,1501567,356833,110024,employed,0,100,0
34,302111,198184,3,4546380,472177,263709,student,1,100,0
48,1801170,1199952,5,4680719,179879,244776,employed,0,100,84267
34,1386743,818735,3,3657104,63964,50553,employed,0,100,100808
48,1544578,509202,1,2750970,400074,256734,self_employed,1,100,127060
40,1796294,621202,4,2354391,425335,81159,employed,1,100,149951
27,979552,416047,2,4593095,139401,70664,employed,0,100,84820
23,1918042,810000,0,586391,355043,146666,self_employed,0,100,150599
55,1214333,409449,2,224767,410194,97121,unemployed,1,100,78937
64,408896,254674,5,49218,261121,74815,self_employed,1,100,0
44,401139,253031,1,1510615,31031,77570,self_employed,0,100,23415
28,1219298,840839,5,3365910,305473,53242,self_employed,0,100,14597
37,401947,326263,5,3710420,396028,192869,employed,0,100,0
63,901752,819172,3,1135379,86028,176666,employed,0,100,0
22,765802,701656,5,890946,375198,44097,student,1,100,0
49,491627,434996,0,1215826,51239,297588,employed,0,100,1078
22,879277,687627,1,3960957,465472,67642,self_employed,0,100,0
39,235404,173202,5,3792896,189133,27303,self_employed,1,100,0
18,1423821,535930,0,2066836,317583,283560,self_employed,1,100,114061
37,712948,518065,4,4146737,358732,96508,unemployed,0,100,0
32,1220121,490454,0,4358665,117108,57652,employed,0,100,122511
28,247666,194323,0,299292,335022,79664,employed,1,100,0
49,1631330,661189,1,4474091,112110,265192,student,0,100,171606
45,805514,598477,5,1810571,499928,289050,unemployed,0,100,0
45,1866884,647736,0,126556,364154,133486,self_employed,0,100,170998
34,305185,153730,1,2376644,21093,13115,unemployed,0,100,26072
51,169268,91949,3,1302739,344070,239394,student,0,100,0
41,1024402,516179,1,1580620,229085,53447,unemployed,1,100,55827
19,547297,274744,3,4711938,135184,42361,employed,0,100,27473
44,575908,372085,4,4803494,258940,170751,self_employed,0,100,0
26,362269,302617,2,1756728,327146,10380,employed,0,100,0
36,116338,100942,3,4952828,172503,26059,employed,0,100,0
53,769719,267677,5,937744,235007,109170,employed,1,100,53406
46,1162753,494219,4,489568,406416,137804,self_employed,1,100,52423
28,292550,146580,5,888079,88528,277812,student,1,100,11488
49,1407991,1048176,5,552941,292213,76816,self_employed,1,100,13520
44,1121974,630082,3,312383,381400,132280,self_employed,0,100,22098
56,611009,372658,0,1324035,238396,53134,employed,0,100,0
41,904584,732605,2,3343685,145129,2125,employed,1,100,5369
