age,monthly_income,loan_amount,duration_months,existing_debt,num_dependents,employment_type,education,credit_history,collateral,approved
27,1488846,3822380,24,863996,0,employed,tertiary,1,1,0
54,1293048,4408548,60,146149,4,self_employed,primary,1,0,1
33,928878,526857,48,713209,2,employed,none,1,0,0
36,1914445,1710100,18,629735,3,employed,primary,1,0,1
55,284196,61017,48,281775,0,self_employed,primary,0,0,0
59,257609,3981895,24,708012,2,student,tertiary,1,0,0
23,725302,3150786,18,460662,3,employed,primary,1,1,0
21,333006,2701788,36,819932,1,employed,tertiary,1,1,0
25,323813,3605392,48,413113,5,employed,tertiary,0,1,1
61,957651,2418787,12,321059,4,employed,tertiary,1,0,1
23,759132,259720,18,954881,4,employed,secondary,0,1,0
48,1900924,2268222,18,994174,1,self_employed,none,0,1,0
37,323022,4040919,48,889192,2,student,tertiary,1,0,0
45,839417,3065624,24,289041,5,unemployed,secondary,1,0,0
63,541121,4187192,18,702640,1,employed,secondary,1,0,0
53,1303296,2182162,36,625927,3,self_employed,secondary,1,0,0
29,1664099,4167386,48,900281,5,employed,secondary,0,1,0
55,331075,1745625,36,111118,0,employed,tertiary,1,0,1
33,1191452,2012160,48,319464,2,student,tertiary,0,1,0
50,574624,1784872,36,727952,5,student,tertiary,1,1,0
34,879365,1701722,24,487702,0,employed,tertiary,1,0,0
27,1052403,4281797,48,854721,1,employed,secondary,1,0,0
33,1406256,3887478,60,556229,4,employed,secondary,1,1,1
42,643792,4074537,12,755036,5,self_employed,tertiary,1,1,0
59,673502,2830877,24,145306,5,unemployed,tertiary,1,0,0
40,1280796,2670390,36,599460,0,employed,tertiary,1,1,0
35,163936,3081863,48,3376,0,employed,primary,0,1,0
64,66279,1200311,24,292927,4,employed,tertiary,1,0,0
37,1298313,1645776,36,434465,0,employed,secondary,1,1,1
43,1202327,2118535,6,305169,0,self_employed,primary,1,0,1
45,1465153,3167173,6,540735,5,unemployed,tertiary,0,0,0
44,1169962,4875885,18,216937,4,employed,secondary,0,1,0
64,136124,3294811,12,541001,4,employed,none,1,0,0
60,1466470,3083932,6,915301,5,employed,secondary,1,0,0
48,1962493,671747,60,791290,1,employed,tertiary,1,0,1
34,386199,2545902,36,706475,1,employed,tertiary,0,0,0
64,141911,2894517,24,59834,5,employed,secondary,0,0,0
20,935050,1331258,48,606348,0,employed,tertiary,1,1,0
44,1569065,4673190,24,767283,2,employed,tertiary,1,0,0
26,772030,4473475,18,922043,1,self_employed,none,1,0,0
28,1043978,3569567,24,457199,1,employed,secondary,0,0,0
43,497244,4411862,6,412073,5,self_employed,primary,1,0,0
20,1319670,1033061,24,890330,5,self_employed,secondary,1,0,0
63,426036,346412,6,888639,2,unemployed,tertiary,1,1,0
27,287723,2621703,6,922868,2,employed,secondary,0,1,0
43,1431848,2435632,12,197057,4,self_employed,secondary,1,1,1
30,1509900,2937225,18,452385,5,employed,primary,1,0,1
36,888927,3282860,60,86366,1,student,secondary,1,1,1
27,132806,2745563,60,152150,3,self_employed,tertiary,1,1,1
54,1978193,1548118,36,955078,3,employed,primary,1,1,0
54,781893,1850831,60,787301,0,employed,secondary,1,0,0
52,1328673,1644362,6,324768,1,unemployed,primary,1,0,0
24,1024334,3790214,48,171147,3,student,tertiary,1,1,1
61,1042144,2118710,18,93676,1,unemployed,tertiary,1,1,0
58,247478,3696313,36,527947,5,unemployed,tertiary,1,1,0
60,537436,1057705,60,429586,1,unemployed,primary,1,0,0
47,1793455,2832540,60,893320,3,self_employed,secondary,1,0,0
26,1410369,366790,48,582473,1,employed,secondary,1,1,1
28,1788460,1966195,24,641424,2,employed,tertiary,0,0,0
27,539709,3597480,18,473137,0,self_employed,secondary,1,1,0
31,1787821,3837415,48,174823,4,employed,none,1,0,1
53,487585,95712,60,849190,3,self_employed,none,1,1,0
52,1330780,2546641,18,740233,5,employed,primary,1,0,0
42,407546,4578268,18,136203,4,self_employed,primary,1,0,1
43,867108,2272494,60,132430,0,employed,secondary,0,0,0
56,900525,1714092,24,517086,2,employed,secondary,1,1,0
54,1539556,4580801,24,615438,2,employed,tertiary,1,0,1
63,231871,537707,60,450587,2,employed,tertiary,1,1,0
59,391558,142091,18,737667,2,unemployed,primary,1,0,0
41,548512,943150,48,472355,3,employed,tertiary,0,1,0
46,1453815,585827,12,933750,3,unemployed,tertiary,0,0,0
54,817442,982196,6,279360,1,employed,none,1,0,1
20,1695171,2099736,24,827641,5,employed,tertiary,1,1,0
54,525278,3990063,60,305131,1,employed,tertiary,1,1,0
56,1980440,471743,12,632312,5,employed,primary,1,1,1
33,344067,1613482,24,938081,0,employed,tertiary,1,0,0
22,429593,1680872,18,509742,1,employed,primary,0,1,0
20,544955,1575068,60,566608,0,unemployed,tertiary,1,1,0
24,1334574,4664228,12,273445,0,student,primary,1,1,1
45,1570180,2214452,60,206123,0,student,primary,1,1,1
33,1932582,4635711,48,223410,2,student,primary,0,1,0
58,1535183,4184777,48,126560,4,employed,primary,1,0,1
46,1096195,3387013,36,263035,4,employed,secondary,1,0,1
28,696045,4024532,6,939476,3,employed,none,0,1,0
34,1676528,3294699,6,312601,0,employed,secondary,1,1,1
34,1952392,3133562,24,637677,2,self_employed,tertiary,1,1,1
45,867459,2185896,6,447651,1,unemployed,primary,0,0,0
61,740824,4622530,60,283076,1,self_employed,secondary,1,1,1
32,1395205,2466738,60,266336,3,unemployed,primary,0,1,0
51,1358014,2757430,36,802560,3,employed,primary,1,0,0
58,200528,2006678,48,22836,0,employed,primary,1,0,1
51,518011,2382127,12,286981,0,employed,secondary,1,1,0
23,347698,2675090,12,641316,1,student,primary,1,0,0
49,1407642,1976252,48,902913,1,student,none,0,0,0
56,1374129,2124278,18,911608,1,self_employed,secondary,1,0,0
42,774687,2068852,48,125172,1,employed,tertiary,0,0,0
58,796760,2195265,12,284922,4,employed,none,1,0,1
64,348783,4384165,24,43130,0,employed,tertiary,1,1,1
34,1329758,1130701,36,278852,0,unemployed,none,1,0,0
62,1555419,1328343,48,369625,1,employed,primary,0,1,0
48,1904700,3082115,18,155304,2,employed,tertiary,0,0,0
55,1187613,740778,24,188338,1,employed,secondary,1,1,1
32,1832776,4094064,48,956916,5,student,secondary,0,0,0
51,1808136,228157,24,529070,3,employed,tertiary,1,1,1
26,798423,1803897,48,454412,5,self_employed,none,0,0,1
41,1287063,2400959,24,681675,2,employed,none,1,0,0
47,68074,3878973,60,272196,3,employed,primary,1,0,0
21,720909,661709,6,805953,2,employed,secondary,1,1,0
61,1390683,1279959,24,724794,3,unemployed,tertiary,1,0,0
64,1583248,4989158,60,213827,1,unemployed,tertiary,1,1,0
25,1850298,3393867,6,331834,1,employed,primary,0,0,0
47,806967,4006092,12,559834,2,employed,secondary,1,0,0
47,626553,2692800,6,734705,3,unemployed,tertiary,0,0,0
63,66061,1708332,24,157044,4,self_employed,tertiary,1,1,0
63,1550018,4501441,36,629001,2,employed,secondary,1,0,0
39,1258458,1399651,36,255628,2,employed,tertiary,0,0,0
49,503222,821279,12,995563,5,self_employed,tertiary,1,1,0
30,687790,4124999,24,981889,0,self_employed,none,0,0,0
47,1383520,713431,6,626905,2,student,tertiary,1,1,0
44,1476912,627701,36,22030,4,unemployed,secondary,1,0,0
58,552175,1638404,48,517933,1,employed,tertiary,0,1,0
52,1355081,1855148,18,957880,3,self_employed,primary,1,1,0
20,681516,302515,24,741001,0,employed,none,1,0,0
46,256548,3942825,60,89831,3,self_employed,tertiary,1,0,1
32,1561252,2921083,60,77400,1,self_employed,none,0,1,0
60,500983,659723,48,995916,2,employed,secondary,1,1,0
22,1913062,4788379,48,280199,5,unemployed,tertiary,1,0,0
58,518535,333126,24,492436,4,self_employed,tertiary,1,1,0
25,546005,2694046,18,742868,0,unemployed,tertiary,0,0,0
27,750757,2026230,36,942997,4,employed,secondary,1,1,1
46,1111809,4199161,18,599149,4,employed,secondary,0,1,0
28,816565,3429595,12,907616,4,self_employed,tertiary,1,1,0
56,533236,3813302,6,378668,4,student,secondary,1,1,0
52,1779004,976097,6,378970,1,employed,tertiary,1,1,1
61,902159,2033438,48,823207,4,employed,secondary,1,1,0
63,1975618,433609,36,968561,5,employed,tertiary,1,1,0
43,1431173,3155003,18,348053,4,employed,secondary,1,0,1
34,678423,1913082,48,822685,1,unemployed,primary,1,0,0
51,1517624,2560963,24,217789,3,self_employed,primary,1,0,1
51,420608,1803313,48,256072,1,student,tertiary,1,1,0
43,267314,2436149,24,576172,5,self_employed,tertiary,0,1,0
60,587970,3531591,24,76497,5,employed,tertiary,0,0,0
31,1584090,2298885,12,804137,2,self_employed,tertiary,0,0,0
58,204455,2853005,12,175748,1,self_employed,secondary,1,0,0
21,1418880,1336353,24,232730,3,student,none,1,0,1
22,798692,2314719,36,353784,2,employed,none,0,1,0
56,335810,3095471,12,210117,2,employed,primary,1,1,0
36,1419537,3094221,12,7101,0,employed,tertiary,0,1,0
21,1714062,4176553,6,324639,4,self_employed,tertiary,1,0,1
21,477858,3254181,48,397959,2,employed,tertiary,0,1,0
47,1664694,1711342,6,533239,2,self_employed,tertiary,1,0,1
42,1594859,869593,36,662374,5,unemployed,tertiary,0,1,0
56,584522,3382791,12,560468,3,employed,none,1,1,0
51,631904,2523592,60,843409,2,self_employed,tertiary,0,1,0
52,321365,2966933,12,247117,3,student,primary,1,1,0
20,1241058,4936202,18,190606,4,self_employed,tertiary,1,0,1
38,1833991,4869164,36,587497,5,employed,primary,1,1,1
21,766773,1066783,60,773529,0,employed,tertiary,0,0,0
63,1099627,3956997,48,697268,0,employed,tertiary,1,0,0
45,1995537,3320421,48,522283,4,employed,secondary,1,0,1
51,1699782,1976663,60,370719,4,self_employed,primary,1,0,1
25,128116,835786,48,837350,5,student,tertiary,1,1,0
51,434370,2477667,60,925723,5,self_employed,secondary,1,0,0
23,1327507,4090013,36,138235,1,employed,secondary,1,0,1
30,1405477,613889,60,133542,2,employed,tertiary,1,0,1
36,569385,327834,60,409759,2,student,none,0,1,0
57,1481728,4780654,18,150348,2,unemployed,tertiary,1,1,0
43,1622138,4581834,18,120014,3,employed,secondary,0,0,0
24,1831411,3944325,6,692241,1,employed,tertiary,0,1,0
53,276572,1788667,36,341094,2,self_employed,primary,0,1,1
25,181379,3337281,36,7749,3,employed,tertiary,0,0,0
41,1679753,3294998,18,810614,3,employed,tertiary,1,1,0
30,1036399,4048585,24,339594,0,employed,none,1,1,1
35,276256,2866112,24,604831,3,employed,none,1,0,0
52,872376,4873062,6,620775,4,employed,secondary,1,1,0
28,935987,1782141,24,372371,5,employed,none,0,1,0
25,612422,4333191,24,229216,3,employed,none,0,0,0
35,470539,885544,24,518567,4,self_employed,tertiary,1,1,0
48,1607997,2289164,12,414599,4,self_employed,secondary,1,1,1
22,252834,336629,6,865010,0,employed,tertiary,1,0,0
39,1579017,2387643,18,640546,0,student,secondary,1,1,1
55,1326155,1684461,24,680772,3,employed,tertiary,1,0,1
38,600242,4056714,48,13181,0,employed,primary,0,0,0
45,760381,2064601,60,44898,0,employed,tertiary,1,1,1
22,1450679,1866418,12,977134,5,self_employed,none,0,1,0
38,801287,3997347,24,789837,2,employed,secondary,1,0,0
39,1833802,2937569,60,489620,3,employed,tertiary,1,1,1
51,1824363,1796988,60,273006,3,self_employed,secondary,1,1,1
26,1365712,4394939,12,185751,3,employed,tertiary,1,1,1
60,576249,4946986,6,290832,0,self_employed,tertiary,0,0,0
52,586785,1070346,48,572305,5,self_employed,primary,1,1,0
59,475767,1936522,48,489697,0,student,tertiary,1,1,0
58,1879310,3169331,48,275083,4,employed,tertiary,0,1,0
37,849687,4053487,24,767631,1,employed,secondary,1,1,0
59,185639,4497077,12,366296,1,student,tertiary,1,0,0
20,1933855,884938,48,301729,1,self_employed,tertiary,1,0,1
30,810177,857400,60,378459,2,self_employed,secondary,1,0,0
47,1801939,4634125,60,104447,0,employed,none,1,0,1
44,1118965,3616881,36,768173,4,employed,tertiary,1,1,0
42,1274171,3981792,36,239434,4,employed,secondary,1,1,1
50,1484522,4417207,12,678302,1,employed,primary,1,1,0
49,373720,3631877,24,241147,5,employed,secondary,1,0,0
61,1094846,4347255,24,398488,2,employed,tertiary,0,0,0
54,880351,3041890,6,437350,2,self_employed,tertiary,1,0,0
26,787463,4199570,6,155337,1,employed,tertiary,1,1,1
35,53358,355745,48,254743,1,employed,tertiary,1,1,0
45,400679,1829892,18,703552,0,employed,secondary,1,1,0
21,551110,1258402,60,684028,5,employed,tertiary,1,0,0
20,1351133,4593247,6,504948,2,employed,none,1,1,1
31,257596,4757527,24,605848,4,employed,none,1,0,0
24,1877352,4030527,60,359579,1,employed,secondary,1,1,1
56,680270,970243,18,593571,0,self_employed,tertiary,1,0,0
51,278129,3471103,6,9297,4,employed,secondary,0,0,0
28,1890706,3452410,12,64005,2,self_employed,primary,0,1,0
60,378953,2386038,36,915265,1,unemployed,tertiary,1,1,0
54,667367,1240283,6,189506,5,self_employed,secondary,1,0,1
38,1154381,471001,6,982253,1,employed,primary,0,0,0
35,212421,3946134,12,394823,5,employed,tertiary,1,0,0
22,1306425,2885309,24,654942,0,self_employed,none,0,0,0
39,911465,3928016,48,190255,0,student,none,0,1,0
43,288483,62336,12,611282,2,student,tertiary,0,1,0
52,1983247,1519204,48,56305,5,employed,secondary,1,0,1
43,442551,3008963,6,683333,1,self_employed,primary,0,0,0
30,1142617,3241319,24,940621,0,unemployed,tertiary,1,0,0
27,1916962,1975656,18,213058,1,unemployed,none,0,0,0
55,320146,3029718,6,736431,2,employed,tertiary,1,1,1
57,1430503,4672974,12,909120,5,employed,tertiary,1,1,0
59,157524,3818553,18,225963,1,employed,primary,0,0,0
39,268306,339372,36,794077,4,employed,secondary,0,0,0
54,961289,64429,18,828670,1,self_employed,secondary,1,0,0
44,594026,1182870,12,593982,3,student,tertiary,0,0,0
54,1895711,4196118,60,697133,3,unemployed,primary,1,0,0
44,163776,924506,18,278930,2,employed,tertiary,1,1,0
48,230494,3526808,12,40693,2,self_employed,primary,1,1,1
37,242971,3407707,60,882879,2,employed,tertiary,1,0,0
37,979896,893810,6,419794,4,self_employed,tertiary,1,0,1
21,1929732,4281614,60,963912,5,self_employed,tertiary,1,0,0
54,1917307,4444203,24,593990,4,employed,tertiary,1,0,1
35,327785,4672776,36,346989,1,employed,tertiary,1,1,0
60,1440254,257500,60,801508,0,employed,primary,1,1,0
55,318449,4344166,24,805809,5,employed,secondary,0,0,0
52,803622,4612272,24,664638,3,unemployed,none,1,1,0
23,1379502,1141014,24,458024,3,employed,secondary,1,1,1
52,1438977,4485786,60,520436,3,employed,primary,1,0,1
33,286371,2912750,12,389512,1,employed,secondary,1,0,0
40,652251,2111439,12,557827,1,unemployed,secondary,0,0,0
39,696275,4956526,36,650840,2,employed,secondary,1,1,0
27,1774502,2628305,12,142512,0,employed,tertiary,1,1,1
26,174591,1910966,48,288389,2,self_employed,none,1,1,0
22,642054,1305950,12,939601,1,employed,tertiary,1,1,0
36,580799,3877233,12,729063,4,employed,primary,1,1,1
52,689104,4582070,12,853524,2,self_employed,tertiary,1,1,1
31,550981,1600531,6,371598,5,employed,tertiary,1,1,0
41,823720,3746458,36,918655,1,unemployed,tertiary,1,1,0
41,993681,4326252,48,677058,1,self_employed,secondary,0,0,0
49,316909,3483468,12,672961,4,employed,secondary,1,0,0
57,1250002,1665270,36,157879,4,employed,tertiary,0,0,0
57,1384649,1139100,18,700662,4,unemployed,tertiary,1,1,0
64,1258468,2257312,6,216936,0,self_employed,tertiary,1,1,1
27,1210152,4725195,60,663399,5,employed,primary,1,0,0
46,1521315,618933,12,509946,1,employed,tertiary,1,1,1
46,1693952,434903,48,309571,4,employed,primary,1,0,0
53,1033667,4119604,6,858271,0,self_employed,primary,0,1,0
40,1176101,831608,48,713409,3,student,secondary,0,1,0
49,63780,1216026,60,412269,5,self_employed,secondary,1,1,0
52,318733,1818407,60,228252,3,employed,secondary,1,0,0
47,930096,1590710,6,378945,3,employed,secondary,1,1,1
52,1013443,3396386,18,897277,1,self_employed,primary,1,0,0
24,1543285,3473082,36,872730,0,student,primary,1,1,0
38,154188,4162742,6,89147,0,employed,primary,1,0,1
23,667614,1617043,24,579701,3,employed,secondary,1,1,0
54,877385,4344329,60,590246,5,employed,secondary,1,1,0
36,640073,1249728,18,555563,2,employed,secondary,1,1,0
63,1642173,1593992,60,26597,3,self_employed,secondary,1,1,1
47,1677059,2331636,24,339665,1,student,secondary,1,0,1
49,1124477,2009484,18,618531,3,employed,secondary,1,0,0
48,1777512,4434347,60,778770,5,employed,tertiary,1,0,1
25,1523300,2993430,24,68908,5,employed,tertiary,1,0,1
54,517927,3261208,24,999123,3,student,tertiary,1,1,0
60,1648328,817128,60,317332,0,employed,tertiary,1,1,1
56,1376980,4559408,60,296854,3,employed,none,1,1,1
43,699285,2381774,48,904925,4,employed,secondary,0,0,0
48,347584,484368,6,222424,4,employed,tertiary,1,1,0
50,1455802,3616194,6,468702,2,unemployed,tertiary,1,1,0
54,942015,1970773,18,704410,1,employed,none,1,1,0
52,630971,2884523,36,835681,1,employed,secondary,1,0,0
40,436350,1217498,60,558535,0,self_employed,tertiary,1,1,0
51,222502,566576,48,463378,1,employed,tertiary,1,0,0
42,1606570,3841296,6,812840,2,employed,tertiary,1,0,0
52,1779041,1538204,6,76313,4,student,tertiary,1,1,1
22,1701348,2983811,48,726043,0,self_employed,none,1,1,1
37,824107,3883538,12,249407,5,self_employed,tertiary,0,1,0
44,904741,2220856,48,267587,4,self_employed,secondary,1,0,1
61,882359,581149,6,916702,2,student,secondary,1,0,0
50,1305062,288366,36,655439,0,employed,secondary,1,0,0
22,1927954,4568362,12,883250,3,employed,primary,1,1,0
59,962935,915718,24,431561,1,employed,primary,1,0,1
43,499777,4457900,48,143973,2,employed,tertiary,1,1,1
51,191449,118515,24,198831,0,employed,tertiary,0,1,0
41,627880,466740,12,173804,4,student,primary,1,1,1
42,1236995,2416361,12,734664,0,unemployed,tertiary,0,0,0
21,345920,1943884,12,250278,3,employed,secondary,1,0,0
46,971287,991208,18,148579,2,employed,tertiary,1,1,1
61,1678662,4433233,48,784370,0,employed,primary,0,1,0
21,185370,3332422,60,343929,5,unemployed,tertiary,0,1,1
45,906636,3017381,36,126691,2,employed,none,1,0,1
36,922639,2388692,36,257426,2,self_employed,secondary,1,1,1
59,1985364,2110035,24,297535,4,student,tertiary,0,1,0
52,498377,3164659,24,558459,1,employed,tertiary,1,0,0
28,897084,1714005,60,444946,5,unemployed,primary,1,1,1
62,541830,1457576,24,901451,3,employed,none,1,1,0
58,966004,4071926,48,793917,0,self_employed,tertiary,1,0,0
48,293767,72995,6,914060,1,employed,primary,1,0,0
61,1643786,1703005,24,896536,4,employed,secondary,0,0,0
45,477244,1762355,12,901859,1,student,tertiary,0,0,0
54,554677,491168,24,226392,2,self_employed,tertiary,1,0,1
44,1512108,739197,12,521819,2,employed,primary,0,0,0
43,913428,549471,18,242174,3,employed,tertiary,1,1,0
32,1508760,4999331,6,90153,5,employed,secondary,0,1,0
26,866698,2463911,6,37748,0,self_employed,tertiary,0,1,0
55,568895,4734162,60,921382,0,employed,tertiary,0,0,0
64,1325393,3698984,48,133021,4,unemployed,tertiary,1,0,0
39,467216,60514,48,216452,3,employed,tertiary,1,1,0
20,981515,2194608,36,247888,0,employed,tertiary,0,0,0
27,1101442,2154385,18,414097,5,self_employed,secondary,1,1,1
35,162669,3261861,60,182378,2,employed,tertiary,1,0,0
33,842330,2980299,48,611438,3,unemployed,primary,1,0,0
31,330539,678373,12,89364,1,self_employed,tertiary,0,1,0
42,1792955,683389,18,115925,3,employed,tertiary,0,1,0
34,1070747,1207260,6,9958,3,self_employed,secondary,1,1,1
47,316150,1425520,12,976689,5,employed,tertiary,1,1,0
53,739753,3405000,60,139769,5,employed,tertiary,1,1,1
21,1895964,3631311,60,87160,0,employed,none,1,0,1
51,493258,3833831,18,801925,4,self_employed,primary,0,0,0
42,539415,4371906,6,173873,4,employed,primary,1,1,1
41,997135,3846286,48,283343,5,employed,tertiary,1,0,1
44,1456396,2011328,12,786369,0,employed,tertiary,1,1,0
41,696012,4139437,12,238962,0,employed,secondary,1,1,1
41,1685765,3619199,6,983296,0,employed,none,1,1,0
61,943659,3741198,12,427704,5,employed,tertiary,1,1,0
25,774857,1400093,48,816925,4,employed,none,0,0,0
34,538029,243691,48,635833,0,employed,tertiary,0,1,0
62,1740056,3634476,48,311146,5,employed,secondary,1,1,1
56,222646,4525687,6,23731,1,unemployed,secondary,1,1,0
52,1392137,1240064,24,138148,1,self_employed,none,0,1,0
27,400164,3015560,24,787503,2,employed,secondary,0,0,0
63,1444359,4792998,60,886358,1,student,none,1,1,0
63,1556798,3459747,60,652160,3,employed,tertiary,1,0,1
24,1193457,2053146,12,985106,2,employed,secondary,1,1,0
58,292934,2642440,48,41410,1,unemployed,tertiary,1,1,0
23,182659,529969,12,754561,3,self_employed,tertiary,0,0,0
25,1744552,2541721,6,447543,1,student,tertiary,1,1,1
64,551323,732346,12,881380,5,student,primary,1,1,0
51,689872,1054411,36,716432,3,employed,none,0,1,0
49,1808646,4445223,24,228443,0,student,tertiary,1,1,1
54,1971575,2981659,12,41041,5,student,none,1,1,1
59,797108,249542,12,385760,3,employed,tertiary,0,0,0
35,912318,1770342,18,577614,5,student,secondary,1,1,0
32,986320,3533802,12,431765,0,employed,tertiary,1,1,1
61,1839760,1869833,36,839528,3,self_employed,tertiary,1,1,0
49,865864,2000500,24,710938,3,employed,secondary,0,1,0
38,1278265,4134032,18,963894,5,employed,none,1,1,0
36,1433093,1273045,6,439268,1,self_employed,secondary,0,1,0
38,1263865,4891905,60,829599,3,employed,none,0,1,1
47,1381604,2954936,6,447803,1,self_employed,tertiary,1,0,1
45,317598,1986983,24,847724,3,employed,tertiary,1,1,0
56,1697824,1454568,60,337563,4,employed,secondary,1,1,1
45,1200997,810956,6,697499,2,employed,tertiary,1,0,0
42,1336821,3604382,36,510839,1,self_employed,tertiary,1,0,1
28,1666482,3738498,12,874185,1,unemployed,tertiary,1,0,0
31,1051452,4407847,24,666067,0,self_employed,tertiary,1,0,0
20,1145687,4615861,60,761752,4,self_employed,tertiary,0,0,0
20,482829,549964,18,930644,0,employed,tertiary,1,1,0
53,266750,3047493,12,508365,4,employed,tertiary,1,1,0
51,170592,849458,6,11093,4,employed,primary,1,0,1
44,284000,55435,6,999540,5,student,secondary,1,0,0
59,830277,189565,18,890521,5,self_employed,none,1,1,0
64,372137,2992905,36,72043,5,employed,tertiary,1,1,1
20,1227228,3478261,18,491338,3,employed,primary,1,0,1
35,976352,4804417,24,386678,0,employed,tertiary,0,0,0
58,558069,1377654,18,399046,2,self_employed,primary,0,0,0
24,1701536,2677014,6,161680,4,employed,secondary,1,1,1
41,1873215,2189934,36,889297,4,self_employed,primary,1,1,0
48,902557,497628,36,386822,1,employed,none,1,0,1
22,1316092,2617592,48,309431,3,employed,none,1,0,1
31,429653,3069065,18,483263,2,unemployed,tertiary,0,1,0
45,1160178,4109319,24,557715,5,employed,secondary,0,1,0
35,253117,514535,6,519333,4,student,tertiary,1,0,0
56,287069,2698191,12,477258,1,employed,tertiary,0,1,1
41,616510,1398894,36,683755,0,employed,secondary,1,0,0
48,1934231,106572,18,916281,4,employed,secondary,0,1,0
33,1339660,3600985,48,371983,1,self_employed,tertiary,1,0,1
47,1340894,2563595,24,879094,0,self_employed,secondary,1,0,0
24,1688197,2183221,24,750362,3,employed,primary,1,1,1
49,758092,787550,60,804402,5,employed,tertiary,1,0,0
24,1483370,1848954,6,594506,0,self_employed,tertiary,1,0,1
31,1147996,2010350,36,207547,4,employed,none,1,1,1
35,649792,832533,6,860794,2,employed,primary,1,0,0
45,1625326,979090,48,678731,0,employed,tertiary,1,1,1
45,321604,2852743,12,220967,2,self_employed,secondary,0,0,0
40,673607,437902,12,936770,2,employed,secondary,1,1,0
58,1879538,1950302,12,234625,0,employed,tertiary,1,1,1
55,714635,734659,24,674555,3,employed,primary,1,0,0
52,718629,489717,36,110949,0,employed,secondary,0,1,0
49,1752457,762494,6,126895,1,employed,tertiary,0,1,0
56,1221248,3840918,6,289459,5,unemployed,secondary,1,0,0
42,1557734,3217118,48,775575,2,employed,none,1,1,0
29,1433640,2291105,12,83804,5,employed,secondary,1,1,1
24,563953,1370307,36,730606,4,employed,secondary,0,0,0
55,1907561,2372024,36,828013,2,unemployed,secondary,1,1,0
53,467582,2614695,48,700897,4,employed,secondary,0,0,0
50,94036,4725431,18,472913,1,student,none,1,1,0
29,1247017,1145589,36,621645,1,employed,tertiary,1,0,0
38,192867,4885933,36,906193,5,employed,secondary,1,0,0
