date,year,month,inflation_rate,gdp_growth,interest_rate,rwf_usd_exchange,consumer_price_index,unemployment_rate,money_supply_bn_rwf,trade_balance_mn_rwf,market_sentiment,market_volatility,sector_agriculture,sector_manufacturing,sector_services,sector_technology,sector_energy,sector_financial,sector_real_estate,sector_healthcare
2020-11,2020,11,1.86,1.22,5.2,1074.97,102.76,16.64,1742.22,-127.49,37,26,99.52,115.86,116.97,108.88,104.36,110.23,106.49,104.09
2020-12,2020,12,3.2,1.99,5.67,1071.97,103.03,15.69,1596.63,-57.32,39,20,101.64,113.94,115.97,108.12,105.21,110.34,105.54,103.99
2021-01,2021,1,3.25,1.4,5.82,1049.7,103.31,15.01,1704.48,-203.75,36,21,103.11,112.35,117.13,113.62,107.2,109.3,105.57,105.11
2021-02,2021,2,2.39,3.32,5.36,1040.63,103.52,17.27,1690.72,-140.52,63,25,106.09,110.48,120.23,113.24,106.04,111.1,104.36,108.43
2021-03,2021,3,3.64,3.07,5.95,1062.57,103.83,15.22,1715.49,-18.96,51,17,108.75,111.75,118.66,110.84,107.36,107.42,104.26,110.87
2021-04,2021,4,2.69,1.11,5.63,1073.78,104.06,15.23,1777.8,-84.49,41,27,109.62,111.24,117.68,112.45,110.92,104.69,103.2,110.84
2021-05,2021,5,3.95,1.97,5.93,1069.01,104.4,15.33,1731.18,-229.92,35,17,111.85,111.48,118.17,112.26,103.14,105.16,103.84,111.8
2021-06,2021,6,3.17,2.66,5.87,1096.78,104.68,15.17,1790.93,-271.23,48,22,113.12,113.85,119.13,114.27,106.73,104.83,104.96,114.16
2021-07,2021,7,3.24,3.66,6.41,1057.3,104.96,15.16,1673.0,-106.31,49,24,114.88,115.63,122.68,120.7,107.84,104.16,105.26,115.01
2021-08,2021,8,2.57,0.96,5.8,1079.63,105.19,16.6,1732.83,-73.63,44,24,116.46,117.15,122.7,123.09,109.21,103.09,109.83,113.55
2021-09,2021,9,2.51,1.78,5.78,1081.58,105.41,15.83,1801.13,-238.81,37,22,117.1,119.63,125.44,128.59,109.08,101.5,111.35,114.6
2021-10,2021,10,3.85,3.61,6.14,1102.7,105.75,15.9,1869.45,-180.86,48,19,119.02,123.44,125.98,128.6,111.0,102.6,110.49,115.99
2021-11,2021,11,2.44,2.71,5.47,1101.13,105.96,15.93,1752.32,-154.85,50,22,118.09,124.39,126.7,128.26,116.67,102.42,107.03,117.4
2021-12,2021,12,1.69,2.94,5.5,1097.41,106.11,16.38,1823.53,-188.47,54,23,117.26,122.95,128.12,126.15,111.37,106.81,111.31,118.29
2022-01,2022,1,2.95,1.32,5.61,1095.1,106.37,14.67,1879.7,-104.51,41,23,115.49,121.53,127.87,128.97,110.67,107.73,109.67,118.1
2022-02,2022,2,3.56,2.98,6.06,1117.18,106.69,15.65,1757.88,-28.91,57,20,114.79,121.54,127.18,126.54,105.65,107.92,108.44,119.95
2022-03,2022,3,2.61,2.23,5.35,1096.97,106.92,16.64,1860.52,-113.04,41,21,116.85,123.84,126.63,131.91,108.71,107.27,109.71,121.0
2022-04,2022,4,3.55,1.82,6.46,1100.07,107.24,15.01,1875.98,-48.38,39,21,117.07,121.7,127.64,126.36,106.69,107.75,109.63,121.24
2022-05,2022,5,3.98,2.81,5.68,1119.07,107.59,14.77,1906.09,-284.51,56,17,116.77,121.34,129.74,128.98,107.22,110.69,107.81,122.18
2022-06,2022,6,3.66,4.28,6.13,1110.38,107.92,14.74,1899.72,-97.81,60,21,113.04,124.0,132.88,127.8,111.61,111.11,106.36,121.0
2022-07,2022,7,3.1,0.12,5.4,1112.96,108.2,14.83,1925.78,-235.03,40,24,114.38,119.32,132.45,133.66,111.27,112.56,102.8,122.14
2022-08,2022,8,3.08,1.2,5.7,1103.04,108.48,16.05,1839.85,-214.07,34,23,115.09,122.03,134.79,134.85,113.68,112.67,102.66,121.32
2022-09,2022,9,3.09,4.28,6.18,1127.36,108.76,15.27,1895.25,-157.35,60,21,114.51,121.8,134.42,136.49,115.02,114.51,103.35,121.8
2022-10,2022,10,1.92,2.1,5.36,1110.36,108.93,17.21,2045.46,-212.11,61,24,115.53,122.57,134.96,135.5,118.19,118.29,103.38,123.23
2022-11,2022,11,1.86,3.14,5.62,1101.12,109.1,16.26,2126.91,-206.51,55,21,116.55,120.06,136.39,137.4,118.01,119.24,102.73,123.24
2022-12,2022,12,3.84,3.21,6.8,1129.24,109.45,15.94,2072.74,-110.32,42,21,117.34,121.7,137.59,138.47,118.56,120.95,102.51,125.1
2023-01,2023,1,3.5,4.01,6.0,1107.76,109.77,14.98,2036.18,-221.49,55,18,116.53,124.74,137.52,138.1,115.43,120.65,104.36,126.67
2023-02,2023,2,3.21,4.6,6.39,1128.86,110.06,14.9,2137.69,-69.91,72,22,115.9,123.76,136.87,138.92,113.29,119.72,103.44,128.27
2023-03,2023,3,3.86,3.72,6.05,1116.58,110.42,13.34,2018.31,-98.65,59,18,116.53,122.44,137.28,136.98,114.48,121.86,108.99,125.99
2023-04,2023,4,3.06,2.28,5.85,1116.65,110.7,15.49,2030.78,-86.68,44,20,114.7,123.03,137.29,143.81,115.59,118.92,108.74,125.46
2023-05,2023,5,4.14,2.31,5.69,1150.36,111.08,16.17,2111.29,-107.03,43,18,112.97,125.59,139.07,146.68,116.23,120.58,105.33,125.22
2023-06,2023,6,2.55,1.67,5.59,1152.63,111.31,15.7,2244.42,-176.16,38,23,113.15,127.02,136.04,148.21,116.72,121.16,105.37,123.16
2023-07,2023,7,2.76,3.15,5.53,1151.14,111.57,14.75,2141.73,-192.82,63,22,115.73,125.86,135.04,150.69,119.95,122.8,102.02,126.13
2023-08,2023,8,2.64,3.3,5.38,1153.08,111.82,15.58,2130.82,-261.09,55,24,115.01,121.18,135.29,152.01,118.52,125.72,104.11,126.74
2023-09,2023,9,3.29,2.7,5.84,1144.83,112.12,16.01,2117.6,-205.73,45,18,116.22,120.28,137.55,159.62,118.07,128.2,111.07,125.78
2023-10,2023,10,2.21,3.96,5.28,1161.98,112.33,14.14,2256.45,-107.3,73,25,118.37,119.64,138.46,164.6,118.74,127.73,111.13,125.81
2023-11,2023,11,2.13,1.49,5.26,1131.33,112.53,16.23,2173.55,-111.91,52,28,118.31,118.18,137.0,163.4,115.77,128.01,116.07,127.45
2023-12,2023,12,2.63,1.11,5.82,1140.41,112.78,15.28,2267.6,-283.82,48,26,119.06,118.22,136.77,165.93,117.47,131.18,119.65,128.98
2024-01,2024,1,2.95,2.58,5.6,1134.0,113.05,15.91,2203.15,-67.97,51,19,121.41,118.13,138.71,171.52,115.2,132.76,120.23,129.33
2024-02,2024,2,3.25,5.33,5.56,1164.99,113.36,15.33,2144.37,-22.55,75,22,121.16,116.31,140.4,168.85,112.45,133.54,120.17,130.97
2024-03,2024,3,3.27,1.98,5.77,1134.17,113.67,15.6,2276.43,-250.53,48,19,122.44,114.76,140.98,171.03,115.78,135.62,117.87,131.58
2024-04,2024,4,2.82,1.72,5.56,1161.18,113.93,15.71,2218.97,-54.94,29,26,123.38,117.94,139.5,172.27,118.2,135.03,118.14,132.21
2024-05,2024,5,3.53,2.53,6.31,1171.11,114.27,14.97,2360.78,-206.28,47,18,124.24,122.41,142.92,173.85,121.89,136.34,119.54,132.03
2024-06,2024,6,3.42,4.23,5.55,1163.0,114.59,13.63,2303.79,-32.75,52,21,125.73,122.38,145.16,172.97,123.38,137.1,121.21,130.9
2024-07,2024,7,2.68,1.51,5.54,1164.35,114.85,15.46,2315.14,-20.69,46,27,125.69,124.74,142.73,175.66,127.21,137.12,123.04,130.63
2024-08,2024,8,2.26,2.39,5.67,1196.36,115.07,15.0,2359.15,-274.96,49,22,126.5,125.08,141.64,173.34,125.95,137.73,120.68,131.33
2024-09,2024,9,1.88,2.34,5.41,1159.08,115.25,14.97,2265.71,-88.46,47,27,129.01,122.04,142.57,173.31,125.77,137.21,122.34,131.13
2024-10,2024,10,3.16,0.79,5.67,1201.36,115.55,15.51,2365.76,-202.63,26,23,131.98,128.13,143.11,174.48,123.8,137.82,121.98,131.61
2024-11,2024,11,2.62,4.16,5.37,1167.28,115.8,15.18,2381.91,-209.11,65,25,130.48,127.7,140.16,175.31,121.28,137.67,122.76,131.94
2024-12,2024,12,3.37,2.04,5.79,1168.55,116.13,16.09,2467.93,-220.37,39,20,130.0,127.87,140.66,175.53,122.98,138.73,121.55,131.68
2025-01,2025,1,2.76,2.85,5.7,1188.91,116.39,15.48,2483.28,-203.46,52,20,130.37,129.43,141.3,176.6,121.8,138.67,122.2,132.83
2025-02,2025,2,4.32,3.17,5.81,1188.52,116.81,14.8,2445.81,-127.89,54,17,131.23,129.39,141.18,177.97,123.44,140.79,124.1,134.42
2025-03,2025,3,3.81,3.93,5.95,1195.38,117.18,14.17,2488.29,-72.71,58,18,131.44,129.34,142.3,174.51,125.04,143.18,122.15,135.32
2025-04,2025,4,3.16,2.7,5.67,1217.16,117.49,15.65,2449.91,-79.54,68,20,131.5,127.85,141.57,179.19,128.31,142.51,123.92,135.32
2025-05,2025,5,4.31,3.22,6.33,1205.95,117.92,15.08,2425.64,-249.35,35,22,131.71,128.84,139.36,186.66,132.17,143.23,126.81,135.22
2025-06,2025,6,3.65,1.45,6.08,1197.59,118.27,15.8,2515.61,-159.35,25,29,132.36,127.12,138.06,188.45,129.99,142.79,130.13,135.38
2025-07,2025,7,2.03,3.14,5.48,1206.04,118.47,15.7,2431.25,-238.82,52,22,134.54,127.07,140.85,189.49,131.26,142.36,128.67,137.12
2025-08,2025,8,3.63,2.75,6.56,1218.01,118.83,16.14,2529.55,-232.64,64,17,133.21,129.21,142.61,189.65,134.67,143.29,126.01,139.42
2025-09,2025,9,2.18,3.9,5.59,1194.4,119.05,14.97,2521.2,-36.13,71,25,131.71,125.8,145.85,190.86,134.03,142.23,125.31,141.44
2025-10,2025,10,3.23,2.64,5.7,1192.5,119.37,16.26,2524.79,-195.02,50,23,136.06,126.55,145.95,185.75,134.8,143.37,128.74,144.04
2025-11,2025,11,2.73,3.83,5.63,1221.09,119.64,15.62,2598.05,-221.64,76,20,133.19,128.12,147.88,189.19,135.44,142.24,127.29,145.89
2025-12,2025,12,2.37,3.46,5.92,1198.43,119.88,15.95,2546.32,-131.92,73,22,135.75,129.47,148.57,195.56,139.07,145.22,129.44,143.97
