date,year,month,inflation_rate,gdp_growth,interest_rate,rwf_usd_exchange,Agriculture_index,Technology_index,Real_Estate_index,Manufacturing_index,Retail_index,Tourism_index,Transport_index,Energy_index
2018-09,2018,9,1.85,3.93,6.11,972.51,107.9,144.18,128.6,110.46,112.88,107.11,120.86,109.27
2018-10,2018,10,1.85,3.95,6.11,972.41,109.32,143.22,127.85,111.45,109.86,106.75,120.63,109.72
2018-11,2018,11,1.79,3.97,6.1,974.5,109.91,140.17,126.83,110.1,109.03,105.45,120.35,110.45
2018-12,2018,12,1.82,3.95,6.11,977.37,109.51,137.62,128.46,110.83,109.27,104.3,118.64,111.41
2019-01,2019,1,1.75,3.95,6.1,977.05,107.2,137.86,130.38,111.93,109.89,107.3,119.77,109.27
2019-02,2019,2,1.73,3.96,6.1,972.34,110.6,137.34,131.78,113.63,108.02,105.46,121.8,110.62
2019-03,2019,3,1.72,3.93,6.1,968.5,109.64,140.12,131.74,114.96,108.1,106.99,122.8,110.92
2019-04,2019,4,1.74,3.94,6.09,969.56,111.9,144.69,133.98,116.16,109.13,109.09,122.77,112.38
2019-05,2019,5,1.72,3.96,6.09,971.42,111.48,147.99,135.31,116.82,107.29,112.03,121.4,115.35
2019-06,2019,6,1.69,3.97,6.09,968.34,111.62,148.0,137.14,117.98,107.6,109.05,122.37,117.73
2019-07,2019,7,1.72,3.98,6.09,967.24,110.89,149.25,138.64,119.68,106.63,108.74,123.2,118.29
2019-08,2019,8,1.65,3.95,6.11,973.08,111.49,152.23,139.02,120.12,106.71,115.27,123.06,119.81
2019-09,2019,9,1.68,3.95,6.1,973.15,112.73,157.13,139.89,119.83,105.89,122.22,123.42,119.51
2019-10,2019,10,1.7,3.92,6.11,975.49,110.64,161.3,140.48,120.26,105.7,127.5,124.57,118.43
2019-11,2019,11,1.69,3.92,6.12,983.01,111.9,165.47,143.28,120.36,105.51,129.57,125.83,117.81
2019-12,2019,12,1.69,3.92,6.12,983.73,114.87,167.98,144.44,120.8,108.42,130.63,126.94,119.5
2020-01,2020,1,1.68,3.91,6.13,981.45,116.14,172.28,145.8,119.03,111.97,129.02,128.77,119.39
2020-02,2020,2,1.64,3.93,6.15,979.02,117.85,175.79,146.63,120.89,115.49,125.11,129.53,120.08
2020-03,2020,3,1.59,3.91,6.15,982.2,118.08,173.4,146.18,121.76,112.41,127.75,130.69,120.68
2020-04,2020,4,1.55,3.95,6.16,974.69,117.79,175.69,146.07,123.7,113.76,126.99,130.82,124.59
2020-05,2020,5,1.49,3.96,6.15,982.22,118.66,175.06,146.81,123.11,113.73,123.7,130.34,123.31
2020-06,2020,6,1.53,3.98,6.15,988.04,117.53,174.43,145.82,124.31,112.54,125.2,131.35,123.77
2020-07,2020,7,1.56,3.98,6.13,981.34,117.61,176.32,146.02,124.66,115.12,132.87,132.28,125.19
2020-08,2020,8,1.55,3.95,6.13,978.8,115.59,177.8,147.05,125.4,115.31,134.34,132.27,126.26
2020-09,2020,9,1.45,3.94,6.13,976.26,114.37,178.73,147.63,126.74,117.1,133.54,133.75,126.54
2020-10,2020,10,1.43,3.93,6.13,978.95,116.64,177.03,148.82,128.32,119.02,135.51,134.01,126.49
2020-11,2020,11,1.45,3.93,6.13,975.19,113.42,178.12,150.35,128.31,120.43,134.12,132.56,128.46
2020-12,2020,12,1.45,3.92,6.13,963.3,115.03,176.65,149.97,128.3,120.33,133.32,133.2,127.66
2021-01,2021,1,1.41,3.94,6.13,969.43,118.55,178.93,150.87,129.29,120.25,134.77,132.34,128.59
2021-02,2021,2,1.4,3.93,6.12,957.99,119.42,180.35,151.27,126.16,120.79,131.09,129.69,128.23
2021-03,2021,3,1.43,3.92,6.14,966.44,118.48,183.41,151.23,127.7,123.37,132.1,129.94,127.98
2021-04,2021,4,1.5,3.9,6.14,964.5,119.9,182.43,151.39,128.68,125.33,132.01,131.08,128.01
2021-05,2021,5,1.55,3.9,6.13,964.42,118.24,186.89,152.69,129.51,125.36,132.08,131.16,128.49
2021-06,2021,6,1.54,3.86,6.15,963.1,117.54,188.9,152.02,130.33,125.63,130.96,131.79,128.6
2021-07,2021,7,1.49,3.85,6.15,960.87,116.04,198.86,151.98,128.89,128.71,135.11,131.94,129.42
2021-08,2021,8,1.47,3.87,6.15,961.23,114.55,198.21,152.39,129.2,127.26,132.78,132.12,130.96
2021-09,2021,9,1.52,3.87,6.14,959.89,116.37,203.81,153.76,130.1,124.85,132.06,130.95,132.29
2021-10,2021,10,1.51,3.85,6.13,955.67,116.6,203.39,154.0,130.94,123.95,133.26,129.07,133.09
2021-11,2021,11,1.42,3.85,6.15,958.73,118.02,207.49,154.01,134.1,127.52,137.33,129.71,133.81
2021-12,2021,12,1.34,3.86,6.14,957.57,118.87,210.25,154.41,134.13,126.13,134.51,129.63,134.68
2022-01,2022,1,1.3,3.86,6.13,967.44,117.06,208.01,156.62,135.24,125.14,135.99,128.75,135.41
2022-02,2022,2,1.18,3.87,6.14,963.02,117.13,208.8,159.35,134.08,126.0,135.65,128.97,136.42
2022-03,2022,3,1.22,3.9,6.12,965.49,116.2,212.68,160.34,133.42,126.67,141.52,128.11,135.11
2022-04,2022,4,1.31,3.92,6.13,962.83,115.98,213.66,158.61,135.75,128.81,143.46,128.5,134.03
2022-05,2022,5,1.34,3.9,6.14,959.7,116.35,217.64,160.28,135.89,131.11,143.19,126.29,134.83
2022-06,2022,6,1.38,3.89,6.13,959.61,116.39,220.55,160.01,136.62,130.87,140.23,128.01,136.02
2022-07,2022,7,1.42,3.88,6.14,962.83,117.21,224.8,161.23,137.55,131.85,140.53,129.49,134.3
2022-08,2022,8,1.37,3.88,6.16,966.84,117.9,227.59,160.62,139.88,132.57,140.55,129.03,135.47
2022-09,2022,9,1.36,3.89,6.17,966.04,116.89,226.76,160.28,140.4,131.79,134.72,129.94,135.11
2022-10,2022,10,1.37,3.87,6.18,973.91,117.55,228.43,161.02,140.24,133.0,134.77,129.81,136.38
2022-11,2022,11,1.43,3.87,6.18,978.08,120.66,230.4,162.22,139.97,133.6,138.78,132.57,135.58
2022-12,2022,12,1.41,3.86,6.18,979.52,120.34,231.92,160.53,140.78,134.5,140.48,131.54,138.83
2023-01,2023,1,1.43,3.84,6.18,982.97,118.64,231.57,160.38,142.34,133.96,140.67,133.16,139.96
2023-02,2023,2,1.4,3.84,6.18,977.95,118.77,232.48,162.05,142.17,136.24,140.76,134.57,142.02
2023-03,2023,3,1.36,3.87,6.19,983.66,120.46,235.45,162.05,141.86,135.06,139.91,133.91,142.38
2023-04,2023,4,1.31,3.87,6.19,977.16,121.94,237.06,161.75,143.35,134.22,138.5,135.5,144.08
2023-05,2023,5,1.24,3.89,6.19,979.34,122.99,232.65,162.13,145.19,137.66,139.83,135.55,145.47
2023-06,2023,6,1.24,3.89,6.19,978.93,125.87,237.39,164.54,147.61,137.43,138.98,135.25,145.41
2023-07,2023,7,1.27,3.89,6.19,971.77,128.54,237.78,166.19,148.37,137.94,139.77,136.01,145.75
2023-08,2023,8,1.37,3.9,6.19,965.66,130.74,235.2,167.34,149.49,138.07,141.86,136.27,148.39
2023-09,2023,9,1.4,3.89,6.2,965.5,130.83,236.7,167.99,150.57,136.74,138.09,136.89,150.58
2023-10,2023,10,1.37,3.86,6.2,965.0,135.55,236.66,169.49,148.61,135.14,134.75,136.69,149.44
2023-11,2023,11,1.41,3.84,6.2,961.25,135.05,235.93,171.04,150.63,134.82,133.2,137.19,151.46
2023-12,2023,12,1.44,3.83,6.19,959.3,136.89,237.87,171.21,152.22,134.69,132.42,138.71,151.77
2024-01,2024,1,1.44,3.84,6.21,951.95,136.41,242.85,171.21,153.25,133.82,130.57,138.17,152.15
2024-02,2024,2,1.4,3.84,6.2,944.74,138.06,245.52,171.76,154.19,134.87,128.86,139.0,152.4
2024-03,2024,3,1.33,3.83,6.22,943.16,139.43,243.6,173.5,154.95,136.66,127.05,138.85,154.22
2024-04,2024,4,1.29,3.83,6.2,934.01,139.44,244.44,175.18,158.1,137.52,125.51,138.67,156.5
2024-05,2024,5,1.3,3.82,6.19,932.92,136.82,244.88,175.62,156.53,137.3,127.39,141.59,158.19
2024-06,2024,6,1.35,3.8,6.2,935.19,140.58,247.69,175.69,156.58,139.23,126.32,143.63,158.78
2024-07,2024,7,1.32,3.76,6.22,934.18,143.49,244.39,177.32,157.22,140.54,128.9,143.51,159.58
2024-08,2024,8,1.33,3.76,6.23,936.58,146.23,247.35,177.82,159.26,143.24,132.02,143.45,159.87
2024-09,2024,9,1.35,3.77,6.21,932.81,144.54,246.54,179.66,160.3,142.69,133.67,143.14,158.93
2024-10,2024,10,1.32,3.77,6.23,922.73,146.54,246.62,180.49,160.09,141.86,130.4,144.45,159.91
2024-11,2024,11,1.27,3.74,6.22,925.38,146.82,250.41,181.86,159.67,143.46,128.73,143.6,162.23
2024-12,2024,12,1.27,3.76,6.2,923.91,146.69,252.76,182.02,160.5,143.83,130.72,144.48,164.21
2025-01,2025,1,1.23,3.75,6.21,918.34,145.95,255.61,184.31,160.68,144.57,135.1,147.36,164.44
2025-02,2025,2,1.16,3.71,6.2,916.46,148.63,259.54,184.0,163.79,148.44,130.78,148.04,164.89
2025-03,2025,3,1.23,3.7,6.21,912.43,149.62,260.34,185.48,164.66,147.38,133.2,149.58,165.68
2025-04,2025,4,1.2,3.72,6.22,916.28,150.14,259.36,185.35,164.42,148.39,131.2,150.99,166.31
2025-05,2025,5,1.22,3.72,6.21,911.37,151.2,261.51,187.51,167.27,149.06,127.2,151.02,166.35
2025-06,2025,6,1.23,3.7,6.22,906.99,151.99,265.07,187.05,166.72,151.3,129.27,150.13,167.59
2025-07,2025,7,1.18,3.69,6.25,906.65,154.0,266.74,189.68,167.43,148.58,126.15,151.66,167.25
2025-08,2025,8,1.19,3.7,6.24,906.68,151.38,271.55,192.27,167.27,148.33,122.96,153.17,168.4
2025-09,2025,9,1.2,3.69,6.25,905.32,151.28,272.23,193.95,167.02,149.6,129.43,155.6,170.86
2025-10,2025,10,1.21,3.67,6.25,895.11,149.69,273.22,195.54,168.02,150.07,125.52,156.11,170.78
2025-11,2025,11,1.21,3.65,6.26,886.91,150.56,271.87,197.05,169.75,150.67,122.82,155.6,171.66
2025-12,2025,12,1.23,3.64,6.29,887.58,148.71,271.0,197.25,171.15,150.05,122.94,156.21,172.7
