income,expenses,savings,loan_amount,credit_score,loan_status
2824546.93,2351822.52,4850932.5,5779485.08,694,1
2694999.32,1312177.3,3439755.23,9735349.46,643,0
1833909.94,1040659.27,4093729.56,319253.51,640,1
2773435.28,1480989.03,8035954.6,7293364.41,752,1
356628.26,183070.38,245224.23,8175384.17,679,0
668350.3,496339.35,288020.28,579074.2,714,1
231159.14,131469.04,633062.87,5810748.16,580,0
1043457.96,440028.29,2094073.24,8029325.82,458,0
1227164.14,467194.54,1612442.22,5632335.32,712,1
886912.19,200817.43,1525292.71,684945.22,760,1
2503338.78,1522622.3,5599572.6,6949800.05,627,0
1134584.65,409554.41,2631210.37,652939.3,738,1
914710.08,277791.73,2524309.43,8183815.51,616,0
1673818.64,1100838.68,2143372.25,478190.12,640,0
508680.25,344298.44,447757.01,1417103.94,825,0
2426371.24,1762779.15,4656188.95,2787320.53,620,0
316196.87,174699.98,394355.58,6351979.68,614,0
2961972.12,2446109.79,5283552.12,9764773.04,463,0
2339509.83,2001310.12,2947682.71,1222337.38,719,0
676275.48,517458.71,310401.9,1469941.31,579,0
116014.14,74819.31,163380.42,3720260.45,664,0
2464838.14,1017003.72,5109001.8,8370380.42,618,1
2149886.3,1909231.13,5155107.92,4698947.98,605,0
2214120.79,867703.57,3276851.89,3250025.47,638,1
2336684.01,798818.43,1158326.21,5633978.13,645,0
314729.49,160357.16,391543.35,2642205.81,767,1
1139550.61,273251.02,2688065.19,4041541.08,802,1
436020.27,385854.45,540045.04,3359421.23,715,0
2602999.94,1592784.74,5439208.83,8051203.17,777,1
1907564.57,1125208.37,2902628.54,9246344.48,735,1
1059604.27,698340.03,766803.16,7607743.31,699,1
284319.22,155783.2,679082.66,4418881.58,795,0
1001848.73,222855.7,253107.43,5068133.03,519,1
1043031.63,655668.36,1642431.51,1294483.25,581,1
2215857.92,1554029.27,1388618.56,7481303.88,567,0
1948916.67,958329.77,392115.96,5984933.01,619,1
2672916.95,1951515.11,4032901.94,9029277.96,718,0
1469423.28,527377.35,2202204.79,2046080.88,538,1
446823.31,158574.74,947579.41,7609274.91,700,0
2168409.88,678694.71,4844774.29,6862483.03,591,0
2306276.64,1061801.31,5035465.53,2695163.06,615,1
1727703.87,1369910.96,2122788.63,6690417.46,670,0
2335804.82,1820849.66,4426512.15,9247515.14,818,0
1532007.23,716944.06,2651652.85,9188438.08,578,1
1615925.21,989565.31,2043636.8,7210284.42,641,0
1339868.95,944033.37,2400560.24,528327.47,542,0
173715.47,64074.04,493654.82,8729030.16,577,1
412885.14,131173.1,238928.88,6594897.14,541,0
191144.64,168296.58,519400.44,3138820.82,674,0
1945590.19,1230177.45,312007.57,1913141.1,692,0
1011632.35,897308.79,935929.51,1206228.44,718,0
1574855.0,687312.7,1361360.96,549857.15,574,0
2731942.77,1890838.22,5133580.89,7553327.32,700,0
822947.46,292823.26,323973.72,2396637.84,661,0
1290110.48,493906.05,3414977.69,291316.71,644,1
2291098.3,1279192.32,5694878.17,4002842.99,525,1
763514.68,323526.13,1493585.48,4851940.45,665,0
323241.74,102575.95,444535.45,1733840.8,668,1
940279.21,361082.72,2631717.52,488280.94,660,1
567541.73,127710.44,1414450.02,1931798.56,690,1
2796123.19,1937983.3,4188440.0,6807072.48,719,0
2443549.1,1330467.67,5145186.01,868324.59,540,1
1936870.89,515149.84,3294210.37,5572618.45,628,0
2627235.71,841203.56,4633988.54,1506799.28,701,0
2430649.02,660587.64,2413459.98,1997107.28,623,0
641053.17,403103.83,888662.4,3961124.94,745,0
2688421.1,714978.21,630069.91,1053212.09,659,0
1664092.5,1211455.4,1783983.83,1773374.85,454,1
2441576.45,523370.57,5096755.55,3522076.49,733,1
2698664.77,1010820.11,7717231.56,3330206.6,638,1
1022210.08,841755.93,2953361.52,7505251.28,473,0
419150.58,294651.09,698794.69,794083.94,624,0
761011.97,191073.24,1384940.39,8611484.82,523,1
1338612.59,1037141.33,745826.15,8171510.1,725,1
2472242.82,1347680.34,5156911.44,7671616.81,646,1
2596118.69,2058068.21,550315.84,3128255.01,557,0
120161.18,74562.16,102624.5,8237673.77,731,1
1581167.18,1070897.84,3170382.56,1868880.7,695,0
1310491.91,1173481.41,1219976.75,1287871.6,626,1
744112.65,269841.2,111275.07,497315.52,525,0
447609.57,285020.72,1117059.46,9396138.11,565,0
1079084.0,563524.61,1004616.43,3114708.43,564,1
2834438.14,645164.51,536603.57,9180297.91,724,1
1037288.5,217964.86,232730.71,2762504.94,481,0
1604492.8,454809.54,1211835.54,9080281.3,645,0
2138754.98,1399524.73,1142197.48,9044094.08,624,0
1154525.85,689268.28,2681848.5,9240576.65,753,0
2918168.04,1714133.93,2816184.31,4986726.72,673,0
2891097.16,642690.13,6979361.09,8666165.55,703,1
830168.66,438754.18,432964.5,9510120.67,597,0
1542020.67,1306455.38,2280089.64,3279938.57,526,0
972547.1,465183.19,2007445.55,4217800.34,617,1
926037.43,590298.61,1811303.81,7206439.86,727,0
206972.15,154374.95,373251.13,3038580.23,727,0
1867736.57,1398463.45,5181969.38,7550402.62,606,1
1557769.17,877796.78,1067968.29,785226.84,563,1
249288.38,199571.89,369235.38,5258808.92,544,0
908074.75,430395.34,2408193.93,1267019.17,636,1
2733971.07,2247557.29,638877.9,2968568.59,663,1
794729.48,292586.82,133248.16,2623322.66,797,0
520195.13,206076.07,364088.14,8397374.13,662,0
1519413.0,360381.12,2885462.02,1975496.69,711,1
2958386.32,2239224.16,2306472.99,8094056.81,571,1
801960.29,394515.27,457694.5,7949905.44,654,1
2049193.09,738491.54,2820523.6,5013886.4,664,1
2308696.88,836332.82,4249835.85,2376740.39,635,1
789148.88,655766.9,588447.11,2307618.58,647,0
2211827.41,1733501.2,1995231.03,4676000.24,662,0
1166571.08,685327.4,2147281.63,137649.62,698,1
1933686.91,1220693.15,5486286.02,5336940.01,766,0
1937236.16,1030663.69,3921402.22,9530156.28,423,0
1653746.58,784151.36,3884175.16,1589333.47,761,1
361840.33,304247.59,398180.06,5754788.93,478,0
2522377.24,726265.28,2060184.6,9619697.95,680,0
1030262.19,507829.37,1404044.64,8612195.29,850,0
640903.68,282762.43,1551883.2,8511282.16,645,1
218247.91,119753.83,298759.33,8227406.81,668,0
1813589.54,943687.37,4606837.02,3124784.88,618,1
2064936.65,1163019.14,6125254.5,8911637.47,716,1
148104.7,44126.8,32002.46,9416336.49,686,0
1585069.87,886369.57,215934.81,4983134.61,582,0
756837.75,279797.75,339645.4,3577981.92,638,0
1971001.09,648522.32,2272779.15,4171578.71,538,0
605662.64,148619.89,238102.11,3375354.1,638,1
2103719.44,1543828.8,5494901.36,2163563.5,608,0
1221532.5,609800.44,84821.69,6203562.28,663,0
2816516.97,1798770.19,2668306.63,5647839.02,579,0
498810.74,353814.11,276382.99,4652721.46,628,0
1089092.42,735705.52,3043597.26,1003661.6,650,0
429073.21,227130.12,861769.09,7979085.0,657,0
2781611.49,1311610.4,7610741.53,1790588.95,677,1
2644284.12,1224758.2,7713340.12,1189892.33,632,1
848030.72,549552.87,1264663.75,6249560.39,571,1
2013953.73,1100335.8,1415723.53,4016511.39,658,1
2469944.38,1962105.47,1435497.98,645094.33,632,1
1710082.35,1389085.17,1143628.83,3587905.13,752,1
1635986.68,522521.49,3477747.63,7729214.51,765,1
801371.64,236695.98,97236.18,6171729.59,512,0
369998.03,237272.57,57010.49,3659720.93,711,0
2701925.7,1110107.85,4929471.13,1958457.68,731,1
2711212.37,577486.89,5222259.83,6336366.43,515,0
1935994.23,1591483.8,3863835.54,8881175.24,707,0
1083186.39,388680.36,1208447.71,6480413.54,739,0
1112707.77,946354.01,2690343.41,8138393.35,555,0
2205271.47,1548550.7,3530361.23,5239201.99,626,0
2701619.75,1982603.76,854784.09,7193812.51,668,0
2672550.63,911401.36,6390864.77,8967456.4,707,1
2361639.08,859485.71,6752406.4,7743130.83,551,1
1961891.77,1108248.0,353354.25,9103046.84,765,0
344005.9,110243.53,403881.51,4339839.04,447,0
568723.27,235338.93,831785.16,9046991.54,782,1
2705807.15,1150032.26,1188964.89,6234593.98,705,0
1858644.27,579415.54,4838286.8,8706985.22,587,0
126671.45,43527.85,107980.94,441796.48,736,0
394267.47,296483.74,926144.4,6595631.2,545,0
2024155.13,641732.27,4074590.77,8487352.03,661,0
114678.59,25220.14,205749.16,1783310.23,673,0
566343.35,362770.36,326456.47,6634779.99,673,0
1691327.99,1493760.89,1119846.12,8258299.41,566,0
2106496.07,909689.63,299217.69,2915096.23,600,0
1990687.65,563482.04,1437549.79,4082200.96,662,1
750381.0,449681.67,777642.96,5716701.3,577,0
2165319.74,1806846.61,5412077.92,5215718.5,677,1
788022.35,590105.22,866176.83,439934.46,588,0
1043659.12,663517.88,2362703.73,1031787.38,750,1
2264825.07,952448.51,2985779.69,1049642.46,806,1
1983935.41,1149325.77,4671384.1,2659565.66,620,1
2562747.89,676235.85,7505813.95,2496347.92,742,1
2007077.39,1355302.68,1444141.7,7435112.72,628,1
1748094.95,1236894.67,4522365.05,5748806.64,556,0
371656.83,325393.78,693315.5,7651562.04,607,0
1166375.83,445880.0,2859816.82,745465.77,658,1
869086.87,185045.54,1698854.25,4877881.66,471,1
807569.97,469945.9,1027106.67,3271567.01,712,0
2921730.61,2029882.14,1999120.59,8506896.14,658,0
1239983.4,934061.19,260527.55,7092502.11,750,0
2686935.01,901781.75,4316709.13,8699121.78,710,1
1930302.02,739743.87,5734885.37,511949.87,661,1
2404952.78,1343920.44,5324867.07,7222193.72,614,1
1557647.57,672001.2,1529666.96,5423083.1,802,1
1773021.27,1422597.87,4399955.1,8258750.29,850,0
1528301.31,812494.05,3525717.77,5096247.88,616,1
666204.66,506119.05,562881.24,5425080.33,754,1
2195111.13,1331189.66,94219.59,565085.44,579,0
914239.85,677600.84,324086.98,6701802.51,591,0
170516.3,73811.58,448785.02,2767741.76,611,0
1971869.66,1541985.58,4948779.8,245954.53,718,1
613620.97,240662.53,543439.3,711049.77,542,1
2827329.89,1646267.02,2419024.66,9574991.81,804,0
2866392.87,1002678.5,6817987.65,3493469.03,743,1
2753106.73,1467044.03,7745074.02,8687352.5,716,1
1173460.23,496048.21,2742859.76,9598788.48,620,1
144824.19,56002.41,263107.32,9435508.53,732,0
2792123.83,2448384.11,2032705.38,8823166.14,358,0
1341734.03,418690.62,2116241.6,8953696.93,694,0
2903298.98,2180749.4,2033864.22,2925630.04,666,0
2894497.93,2572964.0,7016362.16,1557125.41,461,0
2573727.42,550600.18,2987797.02,6410662.49,690,1
953901.79,657542.81,2385795.8,4906650.64,709,0
1216783.41,458773.91,1393007.3,1032529.85,464,1
2568296.35,586448.58,6349979.72,6791536.09,531,1
1019073.81,491216.72,1019026.37,5650457.07,850,0
591528.97,505551.69,781053.73,8637520.64,631,0
1714723.66,357066.45,3166177.67,6111378.77,747,0
2814848.85,1721336.32,593547.03,5760764.49,762,1
2118486.41,1167238.42,6026291.32,4435479.65,689,1
1753177.39,1422473.64,3016898.09,4654731.35,751,0
381811.83,98813.36,581675.07,9546093.21,438,0
1883520.96,1275272.18,4743048.41,1427537.79,626,1
2971156.17,2008729.72,7716948.82,4489877.24,341,0
506243.64,338350.98,793173.03,6575480.98,475,0
1603155.99,1378127.63,4459638.46,4358455.92,595,0
2644381.91,2052466.82,513574.13,2867995.49,583,0
2248228.99,515700.81,763672.53,2909205.84,654,1
2121345.65,1123799.82,3797982.35,2374877.66,647,1
2137203.84,1022795.53,2270132.76,3471836.85,663,0
1142524.34,476550.39,1591165.65,8723164.02,667,1
951416.35,490869.67,936419.79,5076984.28,683,0
2447147.35,1147555.32,2971267.42,2440375.34,554,0
2449328.84,1231115.29,6044794.28,3876040.83,577,1
2614509.72,2315104.71,4654947.89,1103012.6,646,1
2748397.6,720198.58,8223298.1,9045155.61,647,1
1582892.96,1338433.52,3736636.62,4111568.43,541,0
1554397.25,833414.49,1276158.22,9804892.49,758,0
2415056.02,1537471.93,1915224.8,3508010.79,722,0
1984895.4,1550457.53,2000168.79,8371742.67,564,0
2135703.94,966030.41,5402857.8,2601033.87,629,0
2407798.74,1207018.28,197109.51,807721.29,850,1
2681015.49,1304750.87,1851358.72,365746.95,666,1
1080185.95,499382.62,2932440.5,6081375.85,689,0
1189190.56,1008279.63,2282876.41,3150158.03,589,0
372547.63,290680.63,253534.04,4463022.81,618,0
1777012.41,490988.52,1168269.98,8195538.0,801,0
204232.59,56304.14,528524.2,2518675.45,661,0
1450234.25,724404.57,3888473.26,3121092.14,642,1
1673669.44,450317.77,1286036.34,8461095.04,650,0
930969.63,589643.74,1174447.12,4952984.62,850,1
1813416.46,545084.2,4540408.94,8285268.41,653,1
188450.72,106599.28,435890.73,3776036.23,566,0
208309.75,42714.74,508639.98,4013781.31,584,0
2485541.63,1047947.71,3865500.85,1713026.7,728,0
1144552.86,771466.98,3129948.21,9167641.24,507,0
468475.49,252427.36,458100.92,8972997.76,695,0
1614505.45,1428496.09,758844.05,9842959.29,577,0
2332981.3,1894083.73,4960377.84,4054348.92,464,0
725880.98,327626.05,1174521.34,8195218.67,551,0
1906382.38,441976.79,4887501.76,4178789.63,652,1
347507.65,275204.65,84610.38,4570272.95,789,0
249876.99,209362.94,632457.96,8308493.97,741,0
1640928.43,1270799.26,1443826.61,1814799.37,620,0
1667841.85,482948.56,3276587.07,2242093.8,747,1
1948546.71,1750848.32,234578.46,3181545.99,614,0
2205664.87,840378.07,4033596.15,7892381.37,503,1
2929971.03,2071323.8,6304755.81,3757882.92,652,0
1597271.01,1334718.65,1766982.08,3613773.67,499,0
1036573.77,378329.71,669867.26,9988222.64,729,0
2406039.96,2010922.46,3880682.68,3868871.12,730,0
885413.53,368896.13,2213155.23,2515316.84,562,1
1373017.12,1213045.87,1332708.19,6250976.1,664,0
327523.51,129988.19,248068.89,8028705.52,663,0
173517.16,150509.66,145200.18,742597.95,737,0
2891680.4,686719.89,8233760.54,6207977.7,525,1
2524342.35,1758180.23,2720813.8,405567.79,709,1
2118325.2,1212694.14,22904.86,5287006.89,518,0
1285963.54,687365.46,3015640.6,2607066.06,727,1
602553.53,214777.81,1264051.49,3101084.89,756,0
553667.42,384199.27,213552.18,4697604.84,583,0
825704.4,275427.45,2439719.33,9274719.23,771,1
1692757.33,993630.37,3087905.67,7121139.7,492,0
2172328.18,819558.06,3263572.19,9371613.68,759,0
2014572.39,1750532.39,2310025.15,6616711.5,793,0
911808.3,200635.97,2458251.84,120722.08,684,1
2869109.31,974951.45,2099873.69,2692572.71,630,1
2239901.06,827906.46,1920282.19,9062437.15,681,1
1707626.75,836476.66,627095.9,6452282.93,589,0
1873990.16,680091.96,4267745.16,9817390.0,850,1
1316840.18,716287.79,2352729.67,1601841.99,591,0
818419.87,663514.16,1495415.56,3002640.94,781,1
1132320.77,790863.09,742135.82,3655558.21,575,0
2297753.72,1392377.6,4488673.77,3299250.29,809,1
141741.12,37179.01,325490.81,2557315.72,850,0
436610.66,299425.18,468773.84,4462483.87,688,0
233407.66,73871.19,561121.69,6440866.33,678,1
218113.53,163684.86,228227.84,3147006.38,554,0
2580835.69,967915.92,5869892.41,843014.24,542,1
2140607.79,1053037.99,216608.79,7099898.64,679,0
1475104.1,656906.84,2439075.5,4617214.73,795,0
383719.07,307424.1,1116077.48,5586998.95,595,0
1525686.04,440284.19,4491213.56,4581236.54,850,1
1473068.14,877877.04,1245122.24,8909057.16,588,0
602285.42,180350.23,797544.71,5609512.72,672,1
1358169.78,941696.64,256604.07,9236604.56,673,0
1255663.73,1046664.39,3289869.01,5130224.65,639,0
1885965.28,950951.52,3216922.03,2961252.21,445,0
1941771.59,1051788.9,2243332.67,3586653.74,588,0
231381.63,196488.35,78279.11,5245186.47,669,0
1186376.58,669939.7,3369667.61,5323394.91,640,0
1914993.76,1036622.33,3046098.5,6889010.13,713,1
1559095.15,942988.1,1323334.69,2283723.98,725,0
2583820.54,1763356.27,2714679.14,6605486.85,625,1
2010211.53,552443.04,1632475.78,7796950.68,553,1
572509.84,443567.67,1033626.11,6782090.3,804,1
304649.37,153803.31,849938.45,4844189.69,514,0
1963015.91,492018.07,5045110.69,9917222.48,590,0
176882.8,132720.09,244300.38,4077890.93,565,0
1798749.19,834376.76,4459995.16,1110576.62,724,1
2826667.7,763927.43,3587935.79,8223966.94,781,1
1768875.12,1138528.2,1338899.47,2161402.13,632,0
1225692.79,1000278.01,3616094.44,7147191.45,672,0
1965535.83,1614545.1,1791905.71,1830814.01,692,1
1428933.38,1243692.79,1387741.08,217930.04,830,1
1682288.69,1358269.49,4994847.35,1639996.11,472,0
2830247.95,570291.12,1137144.04,3801037.53,724,1
1219697.65,568585.01,2782864.55,1110851.56,687,1
2887452.64,2231942.58,8106345.05,2016906.89,612,1
2725516.86,1243863.49,4184717.66,7658031.46,682,0
667794.29,414756.32,5052.05,7710341.9,724,0
301147.77,188043.25,338844.5,8184007.86,708,0
392256.2,178679.65,131290.89,8419494.6,850,1
152843.29,127338.6,190834.48,4233337.15,662,0
373884.59,206481.44,886136.49,8682119.12,652,0
2080719.64,1093103.87,2738507.21,5283071.91,631,0
306447.08,275269.04,397086.58,4732441.31,705,0
1025029.33,559102.51,1712176.63,7199436.47,646,0
2550138.4,828485.84,4450174.49,2177493.19,651,1
167488.61,93651.02,430259.64,7905498.9,651,0
2461958.6,1895244.57,2277474.98,4323184.97,636,1
917378.85,682348.43,2261351.51,1316589.37,589,0
442678.0,332897.06,751579.26,1237153.54,691,1
2120537.78,1475081.38,1911852.79,1690822.1,621,1
1923934.26,727155.72,1703409.32,8911198.71,711,0
2644668.84,2124882.61,2865267.41,9909831.33,661,0
2231706.03,1842073.42,4169004.79,3601889.3,611,0
2430094.7,816285.55,1682683.09,2956831.33,806,1
917900.26,267401.74,2534323.25,2226771.18,639,1
614574.68,542622.41,1059980.15,8246973.95,712,1
2276782.78,1839246.09,6284028.23,2131614.45,580,0
2439820.74,2013499.41,339654.95,9244696.79,447,0
2972464.91,2438798.87,3055200.83,6690136.27,593,0
1296591.26,750960.73,88716.64,8976421.53,436,0
1178852.45,769179.08,962834.16,5562398.05,626,0
2351597.59,1368051.29,6081277.02,6922264.63,796,0
1088330.27,256676.65,119530.39,6213608.1,559,0
2799196.24,2020605.85,3662583.97,8320394.79,439,0
2589396.98,1433833.06,913283.45,8366815.07,800,0
1344082.68,878218.72,1680804.93,5918440.35,602,0
2277526.1,1256847.91,5731519.12,6343451.11,648,1
2288174.33,1245379.9,4277085.44,9222665.41,728,1
399059.22,127799.66,882028.24,9302171.52,702,1
2717403.43,1073645.01,2845970.16,6659285.35,725,0
1565231.88,487095.28,4434604.14,127155.07,740,1
2496726.65,841313.01,5312500.72,1088891.59,475,1
1028143.84,905881.26,1301009.58,8586528.19,508,0
2697017.36,828468.21,3450548.91,892905.46,767,1
1228684.87,477330.92,3386320.04,2174515.85,571,1
131429.19,80620.34,227269.2,2343939.47,582,0
2725607.73,1709296.76,5775937.91,6022335.96,523,0
364731.36,112257.71,456317.48,5787496.34,609,0
1026009.55,775255.07,688532.74,2929704.36,615,0
2855179.7,2140362.65,6197675.42,2115733.09,556,1
2856760.73,1045924.07,5209221.24,7657093.7,544,1
1762969.88,708830.97,2651557.19,9357788.75,681,0
1932327.92,1655215.68,3617439.25,575416.52,569,0
1400492.01,1089540.79,875106.9,1375145.6,589,1
950311.24,654249.3,2263466.63,6439531.69,431,0
1053127.18,271246.86,2995608.07,8054192.44,843,1
2050303.52,1010358.53,5481095.75,7922327.25,744,1
2281886.14,1349761.46,2200439.31,7210847.37,600,0
2395579.23,793386.86,2917856.99,8879908.15,560,0
2389892.61,1227827.9,5795984.06,2212621.35,651,1
364497.7,226250.32,650756.47,1117544.92,648,1
1533818.88,658259.35,2521204.56,6172861.55,522,0
266920.4,199299.16,742018.95,8231645.12,394,0
1693633.76,1335116.4,2723489.91,5841333.61,597,0
1380438.45,588793.76,2132523.46,9631825.0,493,0
2674342.13,2104867.74,337116.27,7965866.39,667,0
1117653.54,304564.61,232752.33,7022878.42,667,0
439494.35,345622.91,9783.55,649560.04,552,1
514675.88,157967.05,1410074.32,1122035.28,596,1
2308380.83,595675.38,2828135.81,7859134.44,826,1
1892832.38,1228907.76,2660724.44,2022467.36,727,1
393255.76,208565.61,997359.86,336910.0,604,1
343909.74,287344.64,628577.22,9112068.82,850,0
2132810.48,968791.7,3899854.18,8913513.47,530,0
311012.72,124718.15,276677.94,2223914.08,568,0
2483394.17,1367144.34,6212769.59,7813052.27,638,1
2148102.46,1115213.88,1068659.34,527397.63,496,1
335911.46,148170.42,53560.67,2886327.14,829,1
346029.37,237244.28,198901.17,6255485.74,668,0
2961254.78,2166730.23,2378514.35,7643631.01,571,0
1185385.31,944857.33,1003942.14,153471.93,694,1
1174862.23,1035053.18,2363283.3,3295775.7,664,0
2457118.75,950067.9,1605662.63,2182738.32,619,1
2847020.87,1996517.34,5779380.95,9987865.04,529,1
2959403.09,1408618.94,809090.5,6726273.21,506,1
2284796.74,1539855.62,1008983.11,4086430.96,850,1
1191152.8,635107.41,1818252.28,802743.39,514,1
342152.08,306445.49,946285.69,6006769.06,819,0
2353726.06,1671690.38,6069559.89,6434929.64,565,0
1719372.32,1490255.49,4996943.57,8173238.98,729,1
1330243.83,1043547.93,2595887.28,2921339.69,696,1
2728427.72,2270135.64,5531736.04,9815209.4,716,0
422472.7,325343.45,792165.46,4422684.11,723,0
1528612.8,797036.13,2856146.94,2994640.36,488,1
132925.57,50013.5,58668.17,3517070.87,582,0
1459115.86,670061.2,2380134.41,5219881.23,513,0
263279.5,56385.35,304931.32,9370180.57,668,0
444571.96,251981.26,590218.91,7364830.04,517,0
440826.12,244015.09,692450.42,5792241.01,451,0
1982709.88,1125535.47,763717.07,1669963.36,626,0
2263530.15,1996030.36,2441133.97,1536065.44,429,0
1791769.42,1501534.67,341060.95,5046859.29,675,0
2890300.39,905239.03,8494605.54,7300651.61,524,1
1187124.68,543961.62,422122.65,7522571.12,565,0
928565.05,461282.63,720171.11,2297848.12,421,1
2618937.47,1184736.71,7002721.33,1045990.15,815,1
748427.93,568017.26,1083821.04,3875386.84,503,0
2893345.36,1640024.45,1177335.8,9185816.81,613,0
135247.98,81212.34,155899.21,5476404.16,470,0
2912648.6,2321699.84,1012448.25,3234992.68,566,0
225163.74,172058.81,135244.15,3270194.8,825,0
2684315.03,785291.17,418993.5,1364266.1,679,0
1630333.22,1140809.71,2143370.52,4758576.17,577,1
2979597.91,1504116.79,7210353.9,7924058.65,646,0
314010.04,127567.91,552000.61,9687158.98,593,0
1706177.42,400974.17,3103598.02,5040870.25,640,1
2910977.35,1575056.18,1751686.71,1713788.41,724,1
1616983.75,725711.48,1668212.27,6845356.48,616,0
1925256.05,724010.11,4881922.42,7580073.86,671,0
2117671.2,1453294.66,558151.53,763412.51,673,1
1418169.09,1047516.09,3650072.2,8508884.34,617,0
1919918.43,712966.82,2785936.19,8301757.78,576,0
1794511.5,421016.1,4506812.09,4751783.49,597,1
2713358.23,2154750.73,2588596.01,5626204.06,719,0
231794.5,47974.93,235625.8,7148410.23,728,1
914793.25,783043.58,2062689.18,6783643.84,536,0
2856193.3,1826061.24,6726302.44,214532.98,623,1
2681764.97,1140534.92,1847559.16,1268231.27,574,1
1421404.58,529522.3,4148531.28,1667776.03,729,1
1898384.53,391644.26,481184.12,7568975.1,602,0
904405.43,329954.23,185863.36,4428831.45,850,0
645551.36,191347.76,1153285.67,5477751.13,671,0
1444725.37,908033.53,3132485.78,7738240.0,768,0
1124721.46,356066.47,3242187.75,3442773.58,548,1
1792602.72,1021856.85,2177720.73,7501457.76,651,0
325430.45,199515.39,24691.78,4450877.78,711,0
2925744.94,1195544.78,5291762.75,3802942.87,546,0
2960011.16,664657.08,2572510.36,3363720.78,652,1
2124668.97,480340.31,2759607.94,9651200.91,755,1
1654679.46,361453.37,2424781.26,7731135.44,617,0
997630.09,715687.12,193079.16,250949.61,564,0
2460005.56,1039615.06,3586553.67,9576284.09,830,1
2085720.4,1579745.76,2667550.88,7765624.32,532,0
571589.12,287059.48,1221847.66,1534288.41,665,0
2741688.84,1417723.65,5310645.06,809564.35,579,1
2485358.0,1389359.42,1380982.1,3116531.23,556,1
2854419.75,1995587.7,1765221.0,6260606.22,724,1
2204586.57,862989.84,1660094.56,6184639.56,629,0
1878904.07,535696.49,1008692.13,2794708.75,690,1
1312904.81,773616.2,2588575.1,4484466.04,424,0
2804912.6,1202983.08,8367869.22,2158307.05,700,1
2611585.28,1331239.72,5109109.63,553257.92,577,1
231134.14,150898.86,420674.46,5193856.15,462,0
176464.23,96329.71,217012.85,3502561.79,838,1
1191743.76,755798.14,1117546.72,5451680.2,710,1
2450604.66,1423654.27,6698044.78,9467747.86,672,1
2963100.78,2127084.0,8613750.61,1476534.6,774,1
536208.98,372212.49,799127.55,69522.08,674,0
1822979.07,1046267.71,1587088.29,814938.22,570,0
1204583.48,813373.45,2783029.48,4653947.55,632,0
2912751.75,2363673.94,1157441.25,7083973.7,582,0
