transaction_amount,location,device,time,frequency,is_fraud
4414800.14,Musanze,unknown,12,5,1
228842.19,Butare,mobile,12,4,0
2627374.74,Kigali,atm,7,2,0
2830117.18,Kigali,mobile,11,6,0
2194419.99,Kigali,web,14,5,0
2513917.31,Rubavu,mobile,15,2,0
3551928.49,Kigali,pos,18,3,0
2418886.34,Butare,web,4,2,0
4598300.84,Kigali,atm,2,4,0
2704598.55,Kigali,pos,9,4,0
359447.4,Butare,mobile,22,4,0
4766646.64,Butare,web,3,2,0
734480.1,Rubavu,mobile,11,4,0
3922407.27,Kigali,mobile,0,2,0
2634764.98,Kigali,web,4,2,0
3704591.83,Gisenyi,mobile,4,1,0
2567392.71,Nyagatare,web,14,3,0
295321.52,Gisenyi,mobile,6,3,0
1874942.19,Nyagatare,mobile,16,4,0
3103619.57,International,web,23,0,1
3144596.65,Nyagatare,web,22,5,0
4865235.69,International,mobile,7,1,1
3031820.33,Musanze,web,15,1,0
1432552.44,Nyagatare,web,0,2,0
217605.74,Butare,web,10,2,0
3942181.8,Kigali,pos,18,5,0
4446507.64,International,pos,5,5,1
3068383.38,Kigali,web,22,5,0
2412143.49,International,web,18,2,1
4305002.1,Butare,mobile,8,4,0
1202160.22,Kigali,mobile,4,3,0
1993961.05,Musanze,web,22,4,0
2538528.94,Butare,unknown,13,2,0
247338.4,Musanze,mobile,22,4,0
3443050.69,Kigali,mobile,20,3,0
943205.05,International,web,19,3,0
1666099.35,Rubavu,mobile,12,2,0
2072756.82,Kigali,web,12,4,0
3192732.39,Kigali,mobile,19,1,0
327887.45,Gisenyi,unknown,14,1,0
1704638.25,International,pos,12,0,0
1372171.5,Butare,mobile,6,2,0
8096.35,Kigali,mobile,1,2,0
3458421.38,Nyagatare,unknown,23,2,1
1180056.71,International,pos,19,3,0
832608.6,Musanze,unknown,20,3,0
3989927.33,Rubavu,mobile,20,1,0
196471.94,Kigali,mobile,16,6,0
4501249.62,Kigali,web,3,6,0
3434664.86,Nyagatare,unknown,22,3,0
859145.86,Kigali,mobile,3,3,0
1750840.08,Kigali,pos,17,1,0
4749940.67,Butare,mobile,4,2,0
3094413.49,Butare,mobile,6,1,0
3043783.83,Nyagatare,web,3,3,1
3265528.93,Kigali,web,14,3,0
2313957.41,Rubavu,mobile,21,2,0
836933.41,Rubavu,web,10,2,0
754880.11,Nyagatare,web,3,3,0
3436709.57,Butare,atm,18,4,0
4419764.62,Kigali,mobile,15,2,0
1501404.33,Gisenyi,pos,9,3,0
2517266.15,Rubavu,mobile,10,2,0
4961193.1,Kigali,web,16,3,0
1286177.4,Kigali,web,10,1,0
1951374.54,Kigali,pos,10,6,0
1817926.22,Kigali,mobile,23,4,0
163412.89,Musanze,mobile,5,6,0
2547830.11,Butare,mobile,15,3,0
1043785.09,Butare,mobile,12,1,0
643423.69,Kigali,mobile,18,4,0
3552224.79,International,mobile,0,3,1
3828919.34,Musanze,web,19,4,0
4444513.23,Butare,mobile,13,4,0
4670694.9,Kigali,mobile,10,3,0
4345395.27,Rubavu,mobile,19,3,0
612912.11,Butare,unknown,7,2,0
1118532.36,Rubavu,mobile,5,6,0
612815.24,Rubavu,mobile,18,3,0
1767945.89,Kigali,web,20,2,0
620797.19,Kigali,mobile,10,3,0
3266559.84,Kigali,web,5,2,0
3583719.1,International,mobile,10,3,0
798388.67,Musanze,mobile,4,7,0
3108069.46,Nyagatare,unknown,1,3,1
115435.54,Kigali,mobile,15,3,0
2172134.16,Butare,web,5,4,0
1427052.6,Rubavu,web,13,2,0
4992475.14,Kigali,unknown,13,3,1
4613961.7,Musanze,unknown,12,3,0
738253.5,Gisenyi,mobile,7,3,0
4586895.27,International,unknown,23,2,1
2094239.79,Kigali,mobile,10,5,0
2883452.31,Gisenyi,pos,13,4,0
2669055.25,Nyagatare,mobile,21,1,0
3630919.68,Rubavu,mobile,2,7,0
1675116.49,Kigali,mobile,15,1,0
348878.09,Kigali,mobile,13,2,0
2088425.89,International,pos,7,3,1
2722755.5,Kigali,mobile,16,3,0
2774792.33,International,mobile,6,2,0
3963091.85,Kigali,mobile,23,3,0
221607.13,Nyagatare,mobile,4,4,0
4940477.76,Gisenyi,mobile,19,4,0
4952829.73,Nyagatare,web,4,7,0
495534.6,Butare,unknown,16,2,0
1720415.42,Musanze,web,5,6,0
2951758.22,Kigali,pos,14,3,0
1866942.49,Butare,web,20,7,0
2438379.63,Musanze,mobile,12,6,0
1629978.82,Kigali,web,20,1,0
3560810.55,Rubavu,unknown,20,3,1
1820404.21,Butare,web,8,2,0
2149717.15,Butare,web,14,3,0
2879750.73,Gisenyi,web,11,6,0
4846021.71,Kigali,pos,8,3,0
3209201.44,Kigali,web,23,2,0
485057.29,Kigali,web,9,4,0
1594843.65,Butare,mobile,15,2,0
2098862.86,Kigali,mobile,20,1,0
3700999.01,Gisenyi,web,1,6,1
2234654.32,Rubavu,web,1,2,0
3295691.55,Butare,mobile,9,3,0
4197554.03,Gisenyi,atm,7,5,0
522135.75,Gisenyi,mobile,15,1,0
3828815.03,Kigali,mobile,2,4,1
3728026.2,Musanze,mobile,16,4,0
4098652.04,Kigali,web,17,2,0
4780354.32,Butare,mobile,11,2,0
1548335.08,Kigali,pos,21,2,0
2145387.95,Rubavu,pos,22,1,0
1313778.65,Kigali,mobile,9,5,0
1635864.58,Kigali,mobile,11,4,0
1649464.88,Kigali,mobile,5,1,0
4348940.21,Kigali,web,16,4,0
314960.14,Rubavu,mobile,11,5,0
1013891.68,Rubavu,mobile,13,3,0
3052985.79,Kigali,mobile,0,3,0
3826091.31,Kigali,mobile,15,7,0
3487036.58,Gisenyi,web,15,5,0
233355.09,International,unknown,5,1,1
2269245.01,Gisenyi,pos,22,2,0
922775.7,Rubavu,atm,15,2,0
4940716.96,Gisenyi,web,16,2,0
4994460.37,Kigali,mobile,7,3,0
254967.27,Nyagatare,pos,4,4,0
3338786.78,Kigali,mobile,2,2,1
4065418.17,Musanze,web,5,3,0
1624236.95,International,mobile,20,2,0
3468335.36,Kigali,atm,21,5,0
938748.84,Kigali,web,16,2,0
640231.79,Gisenyi,pos,21,3,0
4626546.43,Musanze,web,14,4,0
3212857.35,Nyagatare,mobile,12,1,0
4084827.73,Rubavu,unknown,16,5,1
2663799.51,Kigali,web,11,8,0
774049.42,Butare,mobile,20,1,0
1883587.6,Musanze,mobile,14,1,0
4408343.94,Musanze,mobile,20,3,0
78525.08,Kigali,mobile,5,4,0
1036284.57,Gisenyi,web,9,5,0
1266806.35,International,unknown,7,1,1
1315347.38,Musanze,mobile,13,0,0
493384.18,Kigali,unknown,22,3,0
4241174.36,Kigali,atm,6,1,0
797989.84,Butare,pos,23,3,0
4148457.09,Rubavu,atm,14,5,0
1775631.36,Gisenyi,web,22,3,0
2286861.8,Kigali,mobile,4,2,0
2314522.77,Rubavu,web,8,4,0
3565887.54,Musanze,mobile,19,2,0
3656633.52,Kigali,mobile,19,4,0
3203619.8,Kigali,pos,9,2,0
3868955.53,Musanze,web,22,5,0
42011.74,Gisenyi,atm,16,1,0
2524299.75,Musanze,web,18,1,0
2620364.71,Gisenyi,web,10,1,0
1197079.53,Butare,atm,13,0,0
2782076.36,International,mobile,21,2,0
2336053.27,Musanze,pos,5,3,0
2360825.49,Butare,web,15,3,0
592693.43,Nyagatare,atm,12,3,0
2176595.06,International,mobile,15,3,1
3832270.43,Kigali,atm,16,3,0
2050244.96,Nyagatare,mobile,13,1,0
2437748.37,Kigali,unknown,14,4,1
4837618.3,Kigali,atm,9,1,0
4358985.53,Kigali,web,6,7,0
4643536.44,Kigali,mobile,9,2,0
388843.92,Gisenyi,pos,5,3,0
3093094.09,Rubavu,atm,13,3,0
1117447.67,Nyagatare,web,19,1,0
2021516.14,Kigali,mobile,16,1,0
3398910.99,Gisenyi,mobile,8,2,0
2894785.04,Gisenyi,web,20,9,0
2528908.71,Butare,atm,15,4,0
4072334.96,Rubavu,atm,6,4,0
3413151.85,Butare,web,3,5,0
4105315.01,Gisenyi,mobile,10,4,0
4659695.27,Nyagatare,mobile,1,5,1
3559998.02,Nyagatare,mobile,7,2,0
1977279.37,Gisenyi,mobile,13,1,0
1064285.36,Kigali,mobile,16,7,0
1354941.15,International,web,22,3,0
1983452.06,Gisenyi,web,11,2,0
3700585.47,Musanze,unknown,19,1,1
201253.29,Kigali,atm,23,2,0
4071500.23,Nyagatare,mobile,12,2,0
3790795.59,Rubavu,atm,0,7,1
2497333.56,Rubavu,mobile,1,4,1
1998634.3,Kigali,unknown,9,1,0
563928.91,Rubavu,web,22,3,0
1448863.03,Kigali,mobile,5,1,0
548585.55,Kigali,web,12,4,0
4094513.13,Kigali,unknown,16,5,1
2546934.65,Kigali,pos,21,3,0
1234310.51,Kigali,mobile,6,5,0
90937.7,Rubavu,mobile,6,2,0
2619842.88,Musanze,pos,7,7,0
3760559.44,Kigali,unknown,13,0,1
3832585.68,Musanze,unknown,21,3,1
1072523.81,Butare,unknown,1,0,0
4975312.53,International,web,6,5,1
2844115.19,Kigali,pos,16,5,0
1660369.18,Kigali,mobile,0,3,0
1964342.33,Musanze,pos,21,0,0
622622.03,Kigali,mobile,13,1,0
2467032.56,Butare,web,21,1,0
3766600.54,Butare,web,0,2,0
2047345.78,Musanze,pos,7,3,0
4334329.86,Kigali,mobile,8,5,0
2384023.51,Gisenyi,unknown,7,6,0
4503098.82,Butare,web,16,2,0
3516167.22,Kigali,web,12,3,0
275521.0,Kigali,pos,7,1,0
335553.81,Nyagatare,web,20,3,0
4000631.95,Kigali,unknown,5,2,1
1784440.15,Butare,web,18,1,0
946630.75,Butare,web,11,5,0
4326669.74,Rubavu,unknown,22,5,0
4916541.68,Butare,unknown,14,1,1
4043836.8,Gisenyi,mobile,8,5,0
3625785.0,Kigali,mobile,13,4,0
5292.32,Rubavu,web,2,3,0
530316.64,Butare,unknown,11,5,0
3354883.49,Kigali,web,10,2,0
2048117.74,Musanze,atm,2,4,0
97866.88,Musanze,mobile,7,2,0
3704477.9,Gisenyi,web,0,1,1
2094116.0,Butare,mobile,16,4,0
3294295.73,Kigali,mobile,17,2,0
2341944.56,Nyagatare,mobile,9,2,0
132975.32,Kigali,mobile,11,1,0
3179804.88,Kigali,unknown,16,5,1
3940535.88,Nyagatare,mobile,21,3,0
780305.96,Gisenyi,web,9,5,0
4455465.24,Butare,mobile,13,1,0
908218.03,Musanze,pos,8,3,0
2114471.76,International,web,7,1,1
2636171.52,Kigali,mobile,18,2,0
1569671.86,Kigali,mobile,16,3,0
2502535.77,Butare,mobile,14,4,0
3591922.77,Kigali,web,5,2,0
3572418.78,Rubavu,mobile,6,3,0
4611452.49,Butare,mobile,17,3,0
4310523.61,Butare,web,15,5,0
4925535.36,Kigali,mobile,10,8,0
2977101.13,Kigali,web,8,2,0
2002873.06,Kigali,mobile,19,5,0
1200870.52,Kigali,unknown,9,7,0
1220224.87,Rubavu,web,12,2,0
755044.53,Kigali,mobile,6,3,0
3633471.54,Kigali,mobile,1,4,0
3271384.37,Butare,web,17,2,0
1461824.83,International,pos,5,5,0
4460741.35,Kigali,web,1,5,1
2761655.58,Kigali,mobile,14,5,0
345560.64,Kigali,web,10,4,0
307723.9,International,mobile,2,2,0
716363.16,Butare,web,8,2,0
1056711.21,Gisenyi,mobile,12,3,0
4437242.99,Kigali,web,10,3,0
3892352.67,Kigali,pos,22,1,0
1009019.83,Kigali,pos,12,4,0
1242837.52,Gisenyi,atm,10,2,0
3184121.72,Rubavu,mobile,9,3,0
4357679.6,Musanze,web,4,1,0
1583987.25,Nyagatare,web,23,3,0
2627720.12,Kigali,mobile,3,1,0
4451942.56,Kigali,atm,6,4,0
3853273.52,Musanze,web,6,2,0
4457601.54,Butare,web,12,4,0
1390730.22,Nyagatare,mobile,13,2,0
3454825.27,Nyagatare,web,8,4,0
570505.96,Kigali,mobile,22,0,0
3081231.19,Rubavu,mobile,9,4,0
1520475.67,Kigali,atm,13,0,0
3507550.83,Butare,mobile,1,1,0
709801.93,Musanze,web,2,1,0
3328068.56,Butare,mobile,8,3,0
3542741.42,Kigali,mobile,19,5,0
4285853.0,Kigali,atm,9,1,0
3435539.42,Kigali,atm,3,3,1
2614559.98,Butare,pos,8,1,0
3920906.18,Rubavu,pos,21,0,0
1422523.67,Rubavu,web,8,4,0
3387493.69,Rubavu,pos,8,0,0
3622776.37,Kigali,mobile,15,1,0
1963009.73,Kigali,mobile,2,1,0
4944838.11,Kigali,web,21,6,0
1780770.53,Nyagatare,mobile,13,2,0
422913.6,Kigali,web,21,6,0
1517720.16,Kigali,mobile,19,5,0
497635.97,Kigali,mobile,12,3,0
1696851.14,Kigali,pos,16,1,0
639800.48,Musanze,web,18,3,0
2197954.55,Kigali,mobile,6,2,0
3889988.36,Rubavu,atm,6,3,0
337681.54,International,pos,6,2,0
2815758.07,Nyagatare,mobile,15,5,0
219616.01,Kigali,atm,0,1,0
4423103.54,Kigali,web,17,7,0
4606952.54,Musanze,web,13,3,0
2462043.04,International,unknown,2,3,1
3846271.2,Rubavu,mobile,10,3,0
2964758.22,Kigali,web,1,2,0
1703644.06,Kigali,mobile,17,3,0
1226081.42,Butare,atm,15,3,0
3793099.78,Kigali,pos,18,2,0
2150186.1,Kigali,mobile,13,2,0
4601232.17,Gisenyi,mobile,22,3,0
4878471.89,Butare,unknown,4,2,0
1052358.16,Kigali,unknown,23,3,0
2805535.99,Kigali,unknown,1,4,1
2684902.74,Kigali,unknown,20,4,1
4340560.26,Kigali,web,16,5,0
3455079.31,Nyagatare,unknown,18,1,1
3037083.84,Musanze,pos,10,1,0
3395284.85,Butare,mobile,20,5,0
1947592.87,Rubavu,pos,8,5,0
4801477.32,Butare,atm,15,2,0
288599.39,Musanze,mobile,18,7,0
146130.36,Kigali,atm,10,7,0
2078240.89,Kigali,web,13,4,0
773302.45,Kigali,pos,10,1,0
2724229.21,Kigali,pos,14,0,0
45545.01,Kigali,unknown,21,1,0
2298685.03,Musanze,mobile,9,4,0
1474975.35,Kigali,atm,9,1,0
1012200.55,Butare,mobile,21,3,0
2223525.36,Musanze,atm,21,2,0
4272817.53,Rubavu,web,2,1,0
3277145.72,Kigali,web,6,1,0
800128.28,Kigali,mobile,0,0,0
2494615.86,Nyagatare,web,12,6,0
4658389.76,Gisenyi,web,18,4,0
2196404.5,Rubavu,mobile,2,5,1
2352995.89,Kigali,unknown,14,4,1
4706817.62,Kigali,atm,16,7,0
679473.01,Butare,web,0,3,0
3675339.91,Kigali,pos,12,2,0
1496157.42,Musanze,mobile,23,4,0
4329525.35,Rubavu,web,7,6,0
272285.24,Musanze,pos,5,3,0
4952012.64,Gisenyi,mobile,11,1,0
3843159.8,Gisenyi,mobile,7,1,0
1422022.75,Gisenyi,mobile,19,4,0
3804399.04,Musanze,unknown,12,2,1
4614887.34,Kigali,web,12,1,0
565030.5,Rubavu,web,12,1,0
4567935.05,Gisenyi,mobile,20,2,0
1801192.03,Butare,web,7,5,0
32793.3,Butare,atm,17,1,0
562548.64,Kigali,unknown,19,5,0
4424027.25,Kigali,mobile,0,3,1
4913341.01,Musanze,mobile,7,3,0
4476912.38,Nyagatare,mobile,15,3,0
2207962.39,Butare,web,11,4,0
4807069.81,Musanze,web,1,2,0
2034547.67,Gisenyi,atm,15,1,0
568923.5,Nyagatare,pos,17,3,0
1705037.01,Butare,web,10,4,0
4992106.61,Kigali,web,10,2,0
3129915.02,Nyagatare,web,4,2,0
1700323.55,Musanze,pos,10,1,0
3121083.4,Kigali,web,16,3,0
2145964.58,Musanze,atm,11,4,0
248218.19,Kigali,atm,21,3,0
1006037.59,Musanze,unknown,11,3,0
96667.07,Rubavu,pos,7,2,0
1274333.72,Kigali,mobile,22,2,0
3697955.38,Musanze,pos,9,4,0
966996.31,Kigali,web,5,2,0
2640517.87,Kigali,pos,0,2,1
3508167.79,Butare,unknown,10,3,0
2743637.75,Nyagatare,web,8,4,0
77345.01,Kigali,atm,22,2,0
1817028.18,Gisenyi,mobile,2,3,0
2208431.69,Musanze,mobile,13,3,0
1714095.38,Rubavu,web,12,2,0
2731545.75,Gisenyi,mobile,19,5,0
2566011.83,Nyagatare,pos,2,3,1
937657.48,Butare,mobile,19,2,0
3759994.18,Nyagatare,atm,16,3,0
806237.99,Gisenyi,atm,18,1,0
2295097.37,Rubavu,web,14,3,0
3781632.85,Butare,atm,4,8,0
3486462.8,Kigali,web,20,4,0
2161213.33,Kigali,mobile,8,4,0
3944707.59,Rubavu,pos,20,1,0
3568932.6,Kigali,web,16,1,0
1922987.32,Gisenyi,mobile,13,3,0
4477619.14,Rubavu,atm,4,2,0
710226.63,Musanze,web,10,3,0
1792731.37,Butare,mobile,6,4,0
3489199.45,Kigali,pos,11,6,0
4364950.77,Musanze,mobile,3,4,0
1613237.36,Butare,web,22,1,0
2806431.38,Nyagatare,mobile,15,0,0
59692.83,Musanze,atm,1,5,0
1854528.56,Rubavu,web,15,2,0
1655009.57,Kigali,web,1,2,0
4212433.3,Kigali,mobile,10,0,0
370346.46,Musanze,web,22,2,0
311041.8,Kigali,web,18,5,0
2213788.84,Musanze,mobile,22,3,0
2037241.33,Butare,mobile,18,3,0
808218.87,Musanze,pos,21,4,0
1317089.3,Gisenyi,web,12,3,0
4870985.34,Butare,web,22,3,0
2566156.23,Rubavu,unknown,20,2,0
439721.46,Musanze,pos,6,3,0
249209.24,Rubavu,mobile,12,3,0
210168.38,Butare,pos,19,7,0
1945400.69,Kigali,mobile,15,6,0
4328154.06,Musanze,mobile,16,8,0
4164666.51,Butare,mobile,10,2,0
1839748.04,Musanze,web,13,4,0
3872230.71,International,web,23,5,1
3761366.16,Gisenyi,atm,1,3,0
2415235.72,Kigali,mobile,14,4,0
2022236.12,Nyagatare,mobile,12,0,0
903152.83,Kigali,web,21,5,0
1394215.55,Kigali,web,12,3,0
1693807.83,Kigali,mobile,4,1,0
4063682.84,Kigali,unknown,21,0,1
2764988.37,Nyagatare,atm,16,4,0
1004972.18,Kigali,mobile,3,3,0
479590.14,Kigali,web,5,1,0
2483570.81,Kigali,mobile,21,2,0
3331749.85,Rubavu,web,5,3,0
4094508.62,Kigali,web,22,5,0
3986674.69,Kigali,mobile,2,5,0
4120866.51,Butare,web,19,4,0
2239512.83,Kigali,web,0,1,0
4328354.71,Butare,web,15,1,0
2223318.95,International,mobile,16,4,1
841022.39,Musanze,mobile,19,3,0
1987194.06,Kigali,mobile,5,1,0
1700455.37,Rubavu,web,11,3,0
1961188.08,Butare,unknown,11,3,0
3293267.01,Musanze,web,18,1,0
3284754.13,Kigali,mobile,20,5,0
1124895.15,Kigali,mobile,15,3,0
1579994.88,Musanze,web,16,2,0
2976976.81,Musanze,unknown,16,4,1
421100.24,Butare,unknown,17,0,0
3443476.65,Kigali,mobile,14,1,0
894872.08,Nyagatare,pos,5,4,0
4253630.33,Kigali,mobile,8,4,0
2008237.49,Kigali,pos,23,2,0
1104418.93,Musanze,pos,10,4,0
3339268.13,Butare,mobile,20,1,0
2770377.01,Kigali,mobile,7,4,0
860092.17,Musanze,mobile,4,7,0
4135891.62,Butare,web,14,5,0
2266718.73,Gisenyi,mobile,9,2,0
761648.2,Musanze,web,2,4,0
3981011.68,Butare,web,6,0,0
667605.69,Kigali,mobile,5,1,0
4840208.49,International,web,22,4,0
2209328.14,Kigali,unknown,4,6,1
3641247.22,International,mobile,23,3,1
2260112.66,Kigali,atm,7,3,0
938219.56,Butare,web,4,3,0
3790691.1,Rubavu,web,15,3,0
1447140.43,Nyagatare,mobile,11,2,0
3412247.96,Musanze,mobile,6,4,0
1287234.91,Kigali,web,3,3,0
1205920.84,Kigali,unknown,22,3,0
2287499.36,Kigali,unknown,5,4,1
4081288.71,Kigali,web,11,1,0
3068358.44,Rubavu,web,12,1,0
323811.96,Nyagatare,mobile,17,5,0
3669456.55,Gisenyi,pos,17,4,0
2899065.12,Butare,mobile,9,3,0
3118015.87,Butare,web,6,1,0
1768214.01,Gisenyi,mobile,6,2,0
2781030.17,Rubavu,pos,2,3,0
1859757.55,Musanze,mobile,18,1,0
407987.6,Rubavu,web,12,2,0
4222229.19,Rubavu,web,17,3,0
3390294.6,International,mobile,15,4,1
3352359.84,Nyagatare,mobile,9,6,0
968796.98,Musanze,pos,14,4,0
3318151.03,Kigali,web,21,0,0
1160537.1,Rubavu,web,10,0,0
3437829.67,Butare,unknown,21,5,0
1667985.66,Gisenyi,mobile,8,4,0
787990.18,Rubavu,pos,5,5,0
4531368.62,Rubavu,web,7,4,0
523699.3,Nyagatare,web,20,2,0
3809058.19,Nyagatare,mobile,11,3,0
509327.46,Gisenyi,unknown,23,2,0
3423755.86,Nyagatare,mobile,17,6,0
552372.78,Musanze,web,8,2,0
2544367.94,Kigali,atm,21,3,0
940384.46,Kigali,web,10,3,0
4332974.62,Kigali,mobile,20,3,0
2007722.1,Gisenyi,unknown,17,7,1
77624.03,Butare,mobile,9,4,0
3140992.18,Rubavu,mobile,0,3,1
2225973.12,Musanze,mobile,2,4,1
4298766.62,Kigali,web,11,0,0
2166004.32,Nyagatare,unknown,23,2,1
2055996.83,Kigali,unknown,6,4,1
2270739.03,Nyagatare,web,14,4,0
4299340.16,Nyagatare,atm,22,3,0
2934319.4,Rubavu,atm,20,4,0
3346977.42,Kigali,web,13,7,0
3602194.23,Kigali,pos,12,0,0
4687608.85,Musanze,mobile,16,4,0
4187684.2,Kigali,mobile,19,0,0
4636457.67,Butare,mobile,15,3,0
1716853.05,Butare,mobile,4,3,0
1074592.79,Rubavu,unknown,8,6,0
1017345.86,Butare,atm,20,2,0
4289076.56,Rubavu,mobile,20,3,0
4153040.86,Musanze,mobile,14,1,0
3252232.85,Rubavu,unknown,8,3,1
315180.45,Kigali,atm,11,3,0
1590581.76,Nyagatare,web,5,0,0
3671139.34,Gisenyi,mobile,16,3,0
1243219.58,Butare,mobile,3,1,0
3120482.57,Gisenyi,web,9,3,0
2713934.74,Butare,atm,15,4,0
1313730.53,Musanze,mobile,15,2,0
4671722.99,Butare,mobile,13,6,0
1284066.88,Musanze,mobile,18,1,0
4474008.38,Musanze,web,0,0,1
2704889.13,Kigali,unknown,6,1,1
459594.15,Kigali,pos,10,0,0
4168206.96,Nyagatare,web,15,2,0
3957264.51,Kigali,pos,0,2,1
4154957.16,Kigali,mobile,21,2,0
3190923.65,Butare,mobile,14,2,0
3558222.32,Kigali,mobile,17,4,0
4535336.37,Kigali,mobile,22,2,0
638927.89,Kigali,unknown,1,3,0
415647.7,Rubavu,unknown,14,3,0
625815.66,Musanze,mobile,18,4,0
4350423.18,Kigali,web,11,4,0
2814889.51,Butare,mobile,11,1,0
880738.37,Kigali,web,9,3,0
708989.49,Butare,mobile,14,4,0
2227395.07,Kigali,mobile,4,2,0
4078762.41,Kigali,pos,4,4,0
4025981.01,Nyagatare,unknown,5,3,1
4256339.72,International,mobile,22,3,1
3844839.19,Gisenyi,mobile,22,5,0
308568.24,Kigali,web,0,3,0
3600974.44,Gisenyi,atm,5,2,0
2595046.97,Nyagatare,mobile,15,1,0
3632197.86,Kigali,web,0,4,0
2421671.56,Kigali,pos,21,3,0
2417953.49,Rubavu,mobile,8,3,0
631110.24,Rubavu,mobile,19,3,0
4526173.6,Kigali,unknown,1,4,1
1873421.47,Nyagatare,atm,19,3,0
2912079.27,Rubavu,web,22,2,0
1036177.75,Kigali,mobile,18,4,0
1844760.05,Kigali,pos,21,0,0
4352951.83,International,mobile,1,4,1
1048392.03,Musanze,mobile,1,4,0
1030925.01,Kigali,web,0,1,0
1302865.3,Butare,unknown,9,4,0
2873518.11,Butare,unknown,14,1,1
2603680.76,Rubavu,web,17,6,0
877022.35,Kigali,unknown,6,0,0
3459999.12,Kigali,web,4,2,0
4537746.38,Kigali,mobile,19,1,0
994544.97,International,mobile,6,2,0
3364932.65,Nyagatare,mobile,11,4,0
2932129.76,Gisenyi,atm,11,8,0
1645030.33,Butare,mobile,13,1,0
3089344.18,Kigali,mobile,8,3,0
1049939.49,Gisenyi,web,13,6,0
4169857.19,Rubavu,mobile,7,7,0
111549.33,Rubavu,web,15,6,0
2835531.35,Kigali,mobile,1,1,0
1594241.52,Rubavu,web,16,4,0
4406862.92,Nyagatare,unknown,2,5,1
2497081.66,Kigali,pos,8,3,0
4012538.95,Musanze,mobile,22,6,0
4619139.81,Musanze,web,5,0,0
